gene	diff	rank
Klf2	-1	1
S100a8	-1	2
S100a9	-1	3
Gdf15	-1	4
Serpinf1	-1	5
Crybb1	-1	6
Slco4a1	-1	7
Tmem119	-1	8
Lrba	-1	9
Lst1	-1	10
Gp9	-1	11
Tgm2	-1	12
Txnip	-1	13
Selplg	-1	14
Camk2n1	-1	15
Ear11	-1	16
Camp	-1	17
Tspan18	-1	18
Stab1	-1	19
Pdlim4	-1	20
Slc2a5	-1	21
Ccl24	-1	22
Actb	-1	23
Duoxa1	-1	24
Ctnnd2	-1	25
Upk1b	-1	26
Tmem44	-1	27
Chst8	-1	28
Snph	-1	29
Rps6ka1	-1	30
Grap	-1	31
Slc40a1	-1	32
Ltf	-1	33
Csf1r	-1	34
Glul	-1	35
Zfp36l2	-1	36
Irf4	-1	37
Cx3cr1	-1	38
Serinc3	-1	39
Myc	-1	40
Prkca	-1	41
Dok3	-1	42
Gpr56	-1	43
Ccl7	-1	44
Alox5ap	-1	45
Clec4a3	-1	46
Pelo	-1	47
Zfp710	-1	48
Sparc	-1	49
Mrc1	-1	50
Slc26a11	-1	51
Sema4b	-1	52
Retnlg	-1	53
1700123k08rik	-1	54
