gene	diff	rank
Gpnmb	1	1
Spp1	1	2
Fabp3	1	3
Cst7	1	4
Fabp5	1	5
Hpse	1	6
Lpl	1	7
Egln3	1	8
Bhlhe40	1	9
Igf1	1	10
Atp6v0d2	1	11
Actr3b	1	12
Ch25h	1	13
Tnfsf9	1	14
Clec7a	1	15
Axl	1	16
Cox6a2	1	17
Cd69	1	18
Myo1e	1	19
Cxcr4	1	20
Ctse	1	21
Ptchd1	1	22
Flt1	1	23
Ptgs2	1	24
Dkk2	1	25
Crip1	1	26
Anxa2	1	27
Myo5a	1	28
Atp1a3	1	29
Cybb	1	30
Apoc1	1	31
Lilrb4	1	32
Fam20c	1	33
Klrb1b	1	34
Acaca	1	35
Csf1	1	36
Lox	1	37
Niacr1	1	38
Kif5a	1	39
Lmnb1	1	40
S100a8	1	41
Il12b	1	42
Capg	1	43
St8sia6	1	44
Ldlr	1	45
Plekhh2	1	46
Nceh1	1	47
Clic4	1	48
Ptger4	1	49
Cd274	1	50
Oasl2	1	51
Il1b	1	52
Pdcd1	1	53
Lgi2	1	54
Gfap	1	55
Ramp1	1	56
Gch1	1	57
Rai14	1	58
Plp2	1	59
Cck	1	60
Gpr65	1	61
Kynu	1	62
Ephx1	1	63
Id3	1	64
Sulf2	1	65
Ddx3y	1	66
Ctla2a	1	67
Tcap	1	68
Il1r1	1	69
Anxa5	1	70
Arap2	1	71
Slamf7	1	72
Cd72	1	73
Tnfaip2	1	74
Fgr	1	75
