gene	diff	rank
Xist	-0.954774221687552	1
Csf1r	-0.605413829081131	2
Gm26917	-0.575168029377002	3
P2ry12	-0.534087998520501	4
Fcrls	-0.531994243512514	5
Gpr34	-0.501662076644495	6
Rsrp1	-0.486540231419486	7
Cmtm6	-0.423759045208439	8
Serinc3	-0.396807199263558	9
Sirpa	-0.395981368103965	10
AY036118	-0.363491991606266	11
Ecscr	-0.34252098982045	12
Cx3cr1	-0.312890004222117	13
P2ry13	-0.295931075153177	14
Cd164	-0.287997227910927	15
Glul	-0.283325160077243	16
Tgfbr1	-0.275265600247798	17
Gm42418	-0.269395182483582	18
Cst3	-0.259136603242637	19
Cd53	-0.250225546390516	20
Slco2b1	-0.249699570668896	21
Golm1	-0.239909559659066	22
Uba52	-0.234842717455715	23
Gm12166	-0.234717620728445	24
Il10ra	-0.226396869248096	25
Gfm2	-0.226000682193097	26
Adap2os	-0.222697357571514	27
Plxdc2	-0.221791796714102	28
Hmha1	-0.219338656903842	29
Ltc4s	-0.212919019185994	30
Fscn1	-0.212896616903095	31
Sepp1	-0.210985019439877	32
Siglech	-0.210446187346061	33
Lyn	-0.207838197262363	34
Laptm5	-0.206815713543336	35
Tmem173	-0.204848816755215	36
Slc40a1	-0.204178153116132	37
Ivns1abp	-0.203595169114488	38
Ddit4	-0.201493900559968	39
Hpgd	-0.199766514503248	40
Cyfip1	-0.199286883341369	41
Capza2	-0.193309278556739	42
Selplg	-0.19133849960188	43
Adgre1	-0.186880233802492	44
Tgfb1	-0.185086452808677	45
Nrip1	-0.184733146556769	46
Cd33	-0.18394271055475	47
Tmed7	-0.183208868719617	48
Tnfrsf21	-0.183189144252194	49
Elmo1	-0.181102127809597	50
Wasf2	-0.179752967111709	51
Tram1	-0.178575797438362	52
Adap2	-0.171653876814838	53
Hnrnpk	-0.170033787824245	54
Ptgs1	-0.167829697783352	55
F11r	-0.16777742571366	56
Pros1	-0.164373199427904	57
Eif4g2	-0.162882141230741	58
Gm8730	-0.161369973163423	59
Mef2c	-0.160757032405453	60
Scoc	-0.159484856460235	61
Atp2c1	-0.159149208611708	62
Inpp5d	-0.158699302862195	63
Ptafr	-0.157734255666141	64
Arsb	-0.155802835414786	65
Pten	-0.154297326775656	66
Serinc1	-0.153960532517026	67
Rpl27a	-0.153890678182816	68
Qk	-0.15173372709205	69
Sft2d1	-0.15151273445367	70
Ccr5	-0.151212189666604	71
Frmd4a	-0.150725006988392	72
Sall1	-0.149961109242551	73
Gm26916	-0.144539309371946	74
Adgrg1	-0.144536094785874	75
Smap2	-0.144135338174057	76
Stab1	-0.140941049791921	77
Serpine2	-0.140735929632809	78
Rnase4	-0.140524200722741	79
Abca9	-0.13965739750479	80
Marcks	-0.139255351793534	81
Snx18	-0.138262416158701	82
Gns	-0.137430194635561	83
Asah1	-0.135339639829722	84
Cfh	-0.134803979276631	85
Cttnbp2nl	-0.133769025892772	86
Hexb	-0.133726773879414	87
Rnf13	-0.132637585321652	88
Tm9sf2	-0.130019393218972	89
Tgfbr2	-0.129798921632618	90
Slc7a8	-0.12961583544719	91
X1700017B05Rik	-0.129477975678041	92
Dpysl2	-0.128710351020037	93
Asph	-0.128082979619311	94
Gm9843	-0.127770582527519	95
Rhob	-0.127731940320572	96
Sparc	-0.127506780798215	97
Eef2	-0.12715555549369	98
Arhgap5	-0.126570068155861	99
Adam10	-0.126524705715648	100
Calm2	-0.125689234947497	101
Yipf4	-0.123523002517518	102
Bmp2k	-0.123351580672869	103
Rpl13a.ps1	-0.12252351321572	104
Vsir	-0.122358929826382	105
Zfhx3	-0.122037439476962	106
Fam102b	-0.12156931054516	107
Epb41l2	-0.121226430804011	108
Gdi2	-0.120358939350688	109
Pde3b	-0.119742455779607	110
Selt	-0.117690900070813	111
Rcsd1	-0.117437756027099	112
Sesn1	-0.116904311576001	113
Rtn4rl1	-0.11618404911642	114
Vps35	-0.116027550327496	115
Tanc2	-0.115884831466125	116
Ppia	-0.115784351532881	117
Arpc4	-0.113954249139542	118
Rpl10.ps3	-0.113728951522687	119
Picalm	-0.111038188461919	120
Nckap1l	-0.110575406556087	121
Sox4	-0.110229538983979	122
Whrn	-0.109917111943861	123
Rnf167	-0.109795590843918	124
Nptn	-0.108382018065333	125
Tm9sf3	-0.108365348238157	126
Pwwp2a	-0.108005831021277	127
Msn	-0.107942381613956	128
Mpeg1	-0.107279410148124	129
Mgat4a	-0.106620702152907	130
Tsix	-0.105961812101708	131
Hnrnpr	-0.105696178879302	132
Ccng2	-0.105617546804588	133
Entpd1	-0.104681756273404	134
Lpcat2	-0.104057032135783	135
Ikzf1	-0.102504533867238	136
Snn	-0.102287232749355	137
Tpm3.rs7	-0.10228380644412	138
Sypl	-0.101852116580077	139
Ccni	-0.101666120207452	140
Ifngr1	-0.101015034520128	141
Ckb	-0.100347494289918	142
Ubash3b	-0.099937614280802	143
Tmem30a	-0.0999087240641628	144
Itgam	-0.0997763604343627	145
Zfp652	-0.0996293283886764	146
Csnk1a1	-0.0991570642155081	147
Gm8797	-0.0991511153423958	148
Itpripl1	-0.0991242182952329	149
St3gal6	-0.0989500156970264	150
Tmem135	-0.0974481266188874	151
Lims1	-0.0968591845133834	152
Cebpg	-0.0961447474974247	153
Rap1b	-0.0950348981087537	154
Pmepa1	-0.0948315936132887	155
Bzw1	-0.0948093003115402	156
Gm29417	-0.0929664937012786	157
Leng8	-0.092938539049031	158
Ccl9	-0.0925945151722737	159
Camk2n1	-0.0925689825794283	160
Hpgds	-0.0924413318812116	161
Zdhhc20	-0.0924357038336437	162
Mtdh	-0.0923795216211893	163
Tmem100	-0.0923645847255936	164
Mef2a	-0.0919882837947966	165
Canx	-0.0918720528815619	166
Plekho1	-0.0916545482140582	167
Lgmn	-0.0914560481171272	168
Rp2	-0.0914478481728911	169
Tubgcp5	-0.0904284476894043	170
Cerk	-0.0900800267982502	171
Zfp36l2	-0.0888039755234971	172
Cltc	-0.0887403773830442	173
Sipa1	-0.0887146841914357	174
Lamp2	-0.0886196499543705	175
Ttc14	-0.0884015704777192	176
Gnb1	-0.0869840712387192	177
Rassf2	-0.0868807771469092	178
Numb	-0.0868097925515501	179
Arglu1	-0.0867814525105082	180
Fam134b	-0.0865945677959262	181
Sgk1	-0.0864661166537265	182
Cul1	-0.0862002481614274	183
Cxxc5	-0.085901956610469	184
Ogt	-0.0858052652456694	185
Srgap2	-0.0856706842957713	186
Slc44a2	-0.0844692026386089	187
Btf3	-0.084374407202621	188
Dip2b	-0.0843030909739929	189
Dock10	-0.0841172680695085	190
Ifitm10	-0.0838900651280901	191
Cables1	-0.083886452804262	192
Nek7	-0.0833050652780762	193
Gtf2h2	-0.0827986142534972	194
Plxnb2	-0.0827826615413332	195
Fmnl1	-0.0827490888188333	196
Gm26724	-0.0820170349714403	197
Ptpra	-0.0819838901254035	198
Bank1	-0.0815010921811557	199
Itgb1	-0.0805639014371938	200
Fam110a	-0.0801325929005047	201
Gm10073	-0.0800567862613797	202
Rasgrp3	-0.0795806762816126	203
Basp1	-0.0795678682849983	204
Usp2	-0.0794323236077836	205
St6galnac4	-0.0792311774381415	206
Fkbp5	-0.0790027310494659	207
Sema4d	-0.078934484193719	208
Pcbp1	-0.078261300454318	209
Ssh2	-0.0779634478152642	210
Tagap	-0.0776936339715353	211
Lhfpl2	-0.0776332262933968	212
Rpl15	-0.0776134553965071	213
Gp9	-0.0775660813818559	214
Adam15	-0.0774545493101043	215
Gm20721	-0.0770674428604484	216
X4933434E20Rik	-0.0767082952880121	217
Pnisr	-0.0767024501919339	218
Vapa	-0.0764907497376243	219
Npc1	-0.076478618950957	220
Scaf11	-0.0762606655020228	221
Nars	-0.0762406817747407	222
Rpl9.ps6	-0.076234374130577	223
