gene	diff	rank
Jun	0.945286522577699	1
Lyz2	0.772342303119419	2
H2.D1	0.744256394091509	3
Junb	0.713493591802782	4
Apoe	0.625517264086659	5
Btg2	0.614116389719537	6
Ccl3	0.536104268306496	7
H2.K1	0.52200713738096	8
Ier5	0.493114232963318	9
Ccl12	0.458496525614048	10
Fos	0.432159519802094	11
Cd52	0.413540425401573	12
Ccl4	0.406642812081053	13
Cd63	0.393809860144023	14
Ier2	0.391791471685145	15
B2m	0.389869821980661	16
Fth1	0.374712463544616	17
Rpl23a	0.370512072120474	18
Egr1	0.368410040069699	19
Klf2	0.358587569377385	20
Crlf2	0.35827015601562	21
Zfp36	0.357882536449179	22
Rps23	0.351336270218452	23
Rps19	0.343178081429847	24
Ifi27l2a	0.341547122415253	25
Rps16	0.336194508453853	26
Ftl1	0.336003945342753	27
Rps18	0.335542593059224	28
Rps14	0.321559710090349	29
Hspa1a	0.318072237576068	30
Rps5	0.309717203401409	31
Hsp90aa1	0.306520541232245	32
Ctsh	0.306009291904296	33
Jund	0.297631021888772	34
Rps27a	0.296920564106433	35
Fau	0.294100788031298	36
Rpl32	0.291463661372878	37
Klf6	0.289525611690106	38
Ifitm3	0.288909407223394	39
Rps24	0.288705940242779	40
Rps11	0.288292209938632	41
Rpl23	0.287672312977974	42
Dusp6	0.287109289336484	43
Rps20	0.287071920323392	44
Rps12	0.286751182762315	45
Ddx5	0.286743027594905	46
Ly86	0.284486411682591	47
Rpl9	0.280910137664695	48
PISD	0.279655770384304	49
Rpl10a	0.279423238674427	50
Cd74	0.27557387014827	51
Rps13	0.273380303880613	52
Ccl2	0.271829150499234	53
Rpl24	0.271073027937553	54
Rps7	0.270588708502416	55
Rplp0	0.270432105160519	56
H2.DMa	0.269802929016489	57
Rpl17	0.269681502713913	58
Bst2	0.267045483878447	59
Rplp1	0.264862502431247	60
Rpl10	0.264440713160349	61
Rpl26	0.261319749815805	62
Rpl36a	0.259151790825207	63
Hsp90ab1	0.258091041378228	64
Rps15a	0.25727689340699	65
Rps2	0.256696649012504	66
Rps15	0.254330705092973	67
Rpl29	0.253634364300346	68
Rps9	0.2530124724055	69
Rpl6	0.250284016298191	70
Rbm39	0.248391673348893	71
Rps3a1	0.245893335773545	72
Rplp2	0.245804644654533	73
Tspo	0.24441491851427	74
Cited2	0.24417175365251	75
Rpl14	0.243370749683496	76
Rpl18a	0.239989391784731	77
Rps4x	0.239932679748738	78
Rpl4	0.233218161151491	79
Fyb	0.2329732381653	80
Rpl21	0.232684974547924	81
Hspa8	0.23202772325326	82
Lgals3bp	0.23196808378473	83
Rpl37a	0.231913984433572	84
Rpl19	0.230537118668267	85
Ctsz	0.228305871047233	86
Rpsa	0.226638316489528	87
Rpl13a	0.225225791024732	88
Rps10	0.219287168777748	89
Rpl7a	0.216193788833821	90
Rps8	0.216001251946068	91
Rpl12	0.213543308707152	92
Rpl13	0.213509103651356	93
Rps17	0.21053437191406	94
Rpl11	0.208389921926063	95
Rpl18	0.206020985369177	96
Lat2	0.205808722364783	97
Ctsb	0.205773881186145	98
Cotl1	0.204194395535499	99
Slc11a1	0.20295505772813	100
Sat1	0.198863144471465	101
Tpt1	0.197869858484931	102
H3f3b	0.19764444377292	103
Ifi30	0.197130042988693	104
Dusp1	0.196657581689528	105
Acox3	0.193916820072309	106
Irf8	0.190847921417226	107
Calm1	0.189526212702447	108
Rpl34	0.189045190170334	109
Cd48	0.188769144054406	110
A930007I19Rik	0.188509412200719	111
Tmcc3	0.187009004417649	112
Smad7	0.186600519653218	113
H2.Ab1	0.185271378239614	114
Npc2	0.183250979819683	115
Rpl8	0.183090124167564	116
Akr1a1	0.181318429988844	117
Zeb2	0.18097848562426	118
Neat1	0.180606999826027	119
Rpl22	0.180233353806176	120
Shisa5	0.17939483827251	121
Ubc	0.179149260908473	122
Rps3	0.178103128715781	123
Id2	0.178012903298634	124
Klk8	0.175530002226044	125
Tnfsf13b	0.175177822205684	126
Ppp1r15a	0.174457211439722	127
Gapdh	0.172955036108604	128
Slc15a3	0.171808955529655	129
Cd83	0.171449574949601	130
Cxcl16	0.170956597137624	131
Bcl2a1b	0.170785475671266	132
Calr	0.17062443936173	133
Ctsc	0.169739913760995	134
Cyba	0.168571090294682	135
Naca	0.166543483824712	136
Rpl5	0.164983416216396	137
Fcgr2b	0.164303752955405	138
H2.Aa	0.164041811008334	139
Srgn	0.163785658886037	140
Rpl22l1	0.16359721724961	141
Rpl28	0.16222518681961	142
Fcer1g	0.160932694560341	143
Cox6a1	0.160616004988167	144
Ccnl1	0.159947191210854	145
Eef1a1	0.159515561166796	146
Psmb8	0.158200438271074	147
Hnrnpa2b1	0.157614993650208	148
Arpc1b	0.157384631628026	149
Gnas	0.156403913745771	150
Cox8a	0.15546002463544	151
Cd84	0.154608321526338	152
Rpl3	0.153515879484924	153
Gm26740	0.153473417378865	154
Rps25	0.152880451240883	155
Hspe1	0.15235294375905	156
Gpr84	0.152290435754908	157
Uqcrh	0.150875626677285	158
Gnb2l1	0.150379073997845	159
Eif4a1	0.150369352597567	160
Hk2	0.149704291722026	161
Rpl35a	0.148622435327897	162
Eef1b2	0.148309868799147	163
Sdf2l1	0.147020739222108	164
Ctss	0.146436816870921	165
Adamts1	0.145969914149902	166
Btg1	0.144251875259715	167
H2.Eb1	0.142539266448307	168
Rpl30	0.142395733942837	169
Cfl1	0.140567577192632	170
Ifi27	0.140355411654369	171
Tlr2	0.140280092009151	172
Slfn2	0.139948833412785	173
Rpl31	0.138755978318171	174
