gene	diff	rank
Pnma2	-1	1
Slc15a2	-1	2
Ppm1l	-1	3
Pecam1	-1	4
Snta1	-1	5
Stau2	-1	6
Abhd6	-1	7
Cdkn2aip	-1	8
Nrarp	-1	9
5730409e04rik	-1	10
Hist1h2bm	-1	11
Rgl1	-1	12
Clptm1	-1	13
Nck1	-1	14
Kcnrg	-1	15
Stard8	-1	16
Fbxo30	-1	17
Sugt1	-1	18
Dnajb1	-1	19
Anks6	-1	20
Slc24a3	-1	21
Gadd45g	-1	22
Mocs2	-1	23
Vezf1	-1	24
Il7r	-1	25
Tmc7	-1	26
Nup88	-1	27
Ccdc90b	-1	28
Usp38	-1	29
Syt12	-1	30
Cd276	-1	31
Cmtm7	-1	32
Slc35a2	-1	33
Nrip1	-1	34
Galnt10	-1	35
Tspan33	-1	36
Vps26b	-1	37
Hist1h2af	-1	38
Dlgap4	-1	39
Tubb2a	-1	40
Tnfrsf17	-1	41
Bbs9	-1	42
Hist1h2an	-1	43
Was	-1	44
Ccdc12	-1	45
Thtpa	-1	46
Msrb2	-1	47
0610037l13rik	-1	48
Acads	-1	49
