gene	diff	rank
Cspp1	-5.868478	1
3110062M04Rik	-5.610981	2
Nsun6	-5.434824	3
Tcfap4	-5.357862	4
Tgm2	-5.352205	5
Rmnd5b	-5.168038	6
Ccl24	-5.044555	7
Pigz	-5.000928	8
BC024479	-4.922925	9
Zfp763	-4.895958	10
Slco4a1	-4.875397	11
Ggt5	-4.82148	12
Mtm1	-4.811894	13
Zfp398	-4.802244	14
A830080D01Rik	-4.6916	15
9130011E15Rik	-4.594303	16
Tut1	-4.58589	17
Mex3b	-4.489966	18
Rqcd1	-4.477893	19
Zfp358	-4.465718	20
Tppp	-4.269576	21
Clec4a2	-4.269124	22
Lsm11	-4.255501	23
Zfp707	-4.255501	24
Ecscr	-4.251806	25
Il7r	-4.23247	26
Szt2	-4.212432	27
Filip1l	-4.178879	28
Klf2	-4.175532	29
Zfp141	-4.173039	30
Gimap6	-4.155689	31
Rcan2	-4.122234	32
A630033H20Rik	-4.037032	33
Diexf	-4.035934	34
Mex3d	-4.026019	35
Inpp5e	-4.016035	36
SCARNA16	-3.960596	37
Hlf	-3.941884	38
Pdlim5	-3.890504	39
Dbp	-3.888515	40
Nars2	-3.886856	41
Fut4	-3.868478	42
Dgat1	-3.800306	43
Ggta1	-3.759664	44
Hist1h2be	-3.753	45
Klhl23	-3.744387	46
BC005561	-3.714932	47
Rasgrp4	-3.712358	48
Ocel1	-3.6916	49
Dtwd1	-3.649165	50
Ppfibp2	-3.649165	51
C85492	-3.643771	52
Mrpl37	-3.643771	53
Tfdp2	-3.62747	54
Gorasp1	-3.620165	55
Rdh13	-3.600997	56
Gnb4	-3.592064	57
Mtss1	-3.591249	58
E230001N04Rik	-3.560355	59
Wdr60	-3.560355	60
Ovca2	-3.539597	61
Med12l	-3.53626	62
Rassf1	-3.528785	63
Sdccag3	-3.520554	64
Coq3	-3.513813	65
Gnl3l	-3.513813	66
Zfp407	-3.513813	67
Gm5918	-3.489966	68
Ftsj2	-3.45344	69
Bend6	-3.441056	70
Gm10492	-3.441056	71
Cep68	-3.43248	72
Fam110a	-3.42056	73
C1rl	-3.415965	74
Ippk	-3.415965	75
Cryba4	-3.40795	76
2700081O15Rik	-3.400699	77
