gene	diff	rank
Itgax	7.860371	1
Mamdc2	6.302282	2
Cst7	6.082145	3
Fam20c	5.700718	4
Ccl4	5.662549	5
Lmbrd2	5.368015	6
Egr2	5.291394	7
Csf1	5.225405	8
5430435G22Rik	5.199079	9
Ccl3	5.15389	10
Clec7a	5.149334	11
Baiap2l2	4.977393	12
Tmem154	4.954359	13
Lpl	4.946601	14
Ank	4.87659	15
Zfp692	4.738853	16
Siglec1	4.689943	17
Itga5	4.568928	18
Tcf19	4.532402	19
Cox6a2	4.450872	20
Spp1	4.312911	21
Axl	4.290287	22
Igf1	4.222486	23
Gpnmb	4.174354	24
Ildr2	4.019589	25
Fxyd6	3.890856	26
Psat1	3.87903	27
Il1b	3.87149	28
St14	3.86344	29
Arhgap26	3.820647	30
4632427E13Rik	3.805967	31
Birc5	3.795436	32
Mettl15	3.684405	33
Gpr65	3.680585	34
Cdca8	3.656391	35
H2-Q7	3.65139	36
Etl4	3.625511	37
Ifit2	3.621669	38
Capg	3.526223	39
Tmem8	3.475818	40
Lyz2	3.455854	41
Apoe	3.428991	42
Slc1a2	3.355524	43
Pycrl	3.346535	44
Ifi27l2a	3.297085	45
Lgi2	3.286436	46
Ero1lb	3.269367	47
Nceh1	3.240047	48
Ch25h	3.194532	49
Zfp189	3.15389	50
Got1	3.143029	51
Nlrc5	3.04828	52
R3hcc1	3.001887	53
Kif5a	2.994234	54
H2-D1	2.988854	55
Enpp1	2.978803	56
S1pr1	2.943855	57
Ell2	2.903912	58
mmu-mir-2134-2	2.902351	59
Chst1	2.899525	60
Ttr	2.889633	61
Ache	2.87149	62
Asb10	2.857053	63
Cd22	2.848264	64
Crip1	2.847229	65
Mical2	2.831962	66
Ifit1	2.819471	67
Mier2	2.819023	68
Cd83	2.817012	69
Fxyd5	2.811971	70
Wdr35	2.805967	71
Fgl2	2.767325	72
Cybb	2.691001	73
Lgals3	2.672484	74
Srebf2	2.670211	75
Apbb2	2.651927	76
Mical3	2.639317	77
Dpp7	2.604552	78
Cpd	2.603934	79
Lyzl4	2.568928	80
Ifi27l2b	2.54468	81
Cd63-ps	2.542815	82
Tspo	2.526072	83
Mif	2.494927	84
Cadm1	2.492552	85
Sparcl1	2.484039	86
Mblac2	2.482727	87
Ifi204	2.470863	88
Lin54	2.465423	89
St8sia6	2.455586	90
Nrgn	2.437683	91
Speg	2.436824	92
Cenpe	2.436033	93
Ccl6	2.4344	94
Sulf2	2.428065	95
2700023E23Rik	2.416925	96
Gm12341	2.416925	97
2010002N04Rik	2.405147	98
Cd52	2.400643	99
Acaca	2.382977	100
Enpp2	2.382863	101
Homer1	2.368015	102
P2ry2	2.362477	103
Ankrd16	2.340976	104
Cd63	2.326131	105
Pygl	2.325002	106
Kcnj2	2.31927	107
Myo1e	2.317389	108
Scpep1	2.30368	109
Dhcr7	2.301447	110
Ttf1	2.297626	111
Ramp1	2.289131	112
Aplp2	2.283658	113
Rps24-ps3	2.282069	114
Lgals3bp	2.276488	115
9130401M01Rik	2.269771	116
Stim2	2.268733	117
Epm2a	2.264922	118
Cdc42ep3	2.239137	119
Cd34	2.233617	120
Slamf9	2.224038	121
H2-K1	2.197553	122
Crlf2	2.192364	123
Dpcd	2.171812	124
Trim32	2.166752	125
Pex16	2.166381	126
Ftl1	2.160799	127
2810468N07Rik	2.15389	128
Gnas	2.152279	129
AL928935.1	2.147576	130
Dhx32	2.139746	131
Tbcd	2.131522	132
Pogk	2.123728	133
Bcl2a1b	2.12165	134
Gm6030	2.117364	135
Gm4902	2.109947	136
2210403K04Rik	2.094997	137
Upp2	2.084943	138
Nfs1	2.077075	139
Cd9	2.06811	140
Sike1	2.057675	141
Dnajc15	2.054355	142
Nat8l	2.054355	143
Rps18	2.049949	144
Ctsb	2.04363	145
Arap2	2.026135	146
1700112E06Rik	2.024607	147
Cd74	2.020314	148
Serpine2	1.998673	149
Fcgr4	1.997548	150
Snx16	1.992427	151
4921513D23Rik	1.98629	152
Nup205	1.97492	153
Glipr1	1.96015	154
Gm8129	1.939223	155
Cxcl16	1.926354	156
2310010J17Rik	1.899076	157
Cdk10	1.89755	158
Rttn	1.89755	159
Uba6	1.890856	160
Cox6c	1.888546	161
Adck1	1.873782	162
Csf2ra	1.864095	163
Gm16247	1.862142	164
Ccdc88a	1.850626	165
Rap2b	1.838446	166
Abhd11	1.831962	167
Gm20518	1.831962	168
Iqgap2	1.831962	169
Pgcp	1.831962	170
Phc1	1.831962	171
Rabl3	1.831962	172
Snord104	1.831962	173
Gm11353	1.822181	174
Lzic	1.798795	175
Slc23a2	1.791496	176
Gusb	1.791202	177
Mrpl27	1.781776	178
Echs1	1.777064	179
Zdhhc21	1.773859	180
Pld3	1.763589	181
Gm7331	1.757892	182
Egr1	1.755093	183
Ndufv3	1.754656	184
Ggnbp1	1.747898	185
Adarb1	1.746232	186
Slc44a1	1.745922	187
Atf3	1.745547	188
Rinl	1.739704	189
Gm7363	1.73588	190
Gm5239	1.726306	191
Rpl36a-ps1	1.726041	192
Cxx1c	1.725047	193
Tsta3	1.725047	194
Zc4h2	1.722084	195
1500012F01Rik	1.710542	196
Tcea2	1.706431	197
Tuba1c	1.699126	198
Frrs1	1.693831	199
Aprt	1.688126	200
Tpd52	1.686402	201
Ctsz	1.684372	202
Syngr1	1.683157	203
Scd2	1.68015	204
Gm11810	1.679959	205
Rras	1.676508	206
Npc2	1.672936	207
Gm5805	1.668591	208
Thbs1	1.668463	209
Bola2	1.665465	210
Pkib	1.658813	211
Itfg3	1.658631	212
Gm10136	1.658244	213
Mrpl28	1.657464	214
Adck5	1.655084	215
Cd300ld	1.644877	216
Fggy	1.639317	217
Gm9493	1.634415	218
Gm15772	1.629177	219
