gene	diff	rank
Selplg	-3.02507787631092	1
Cst3	-2.56328011283046	2
Malat1	-2.23867484071166	3
Tmem119	-2.15324054880394	4
Vsir	-1.95998024012138	5
Gpr34	-1.91090240847346	6
Mafb	-1.8540851634603	7
Adap2os	-1.83228512485386	8
Marcks	-1.61807887880948	9
Cx3cr1	-1.56444506285845	10
Siglech	-1.54054284012793	11
Itgb5	-1.52762265164255	12
Rps29	-1.52704080163818	13
Tgfbr1	-1.51459239274943	14
Rgs2	-1.49805954736797	15
Hexb	-1.49667001575708	16
Olfml3	-1.46833155974887	17
Sparc	-1.43147510103235	18
Laptm5	-1.39225645127569	19
Hmha1	-1.3346465872076	20
C1qa	-1.31591008013978	21
Lpcat2	-1.30310718684654	22
Rrbp1	-1.26621236884517	23
P2ry13	-1.25402774519963	24
Csf1r	-1.22578006913645	25
Rhob	-1.22361291208395	26
Trf	-1.18308468604135	27
Basp1	-1.16567686567841	28
Cd14	-1.14357565240249	29
P2ry12	-1.13980428440593	30
Ly6e	-1.13196853942769	31
Son	-1.12738806644337	32
Ecscr	-1.11925605538599	33
Rpl39	-1.10726207119952	34
Frmd4a	-1.10044278485234	35
Lair1	-1.0818532018867	36
Btg2	-1.08011676065162	37
Pmp22	-1.07463257042793	38
Mbnl1	-1.03845264040139	39
PISD	-1.03027957627639	40
St3gal6	-1.02607229278982	41
Rsrp1	-1.02488177086382	42
Ltc4s	-1.01125426325289	43
Cd53	-1.00817821387591	44
Ctss	-1.00385687661814	45
Ctsd	-0.996866724828924	46
Fscn1	-0.984819799883606	47
Adap2	-0.979408273943394	48
Tmem173	-0.969390330793645	49
Slco2b1	-0.968405972393936	50
Trem2	-0.948620698901599	51
Timp2	-0.946973601282551	52
Abi3	-0.941718618319546	53
Cd37	-0.940420020948125	54
Slc2a5	-0.939740871383954	55
Arhgap5	-0.939676054417539	56
Rgs10	-0.938973536168638	57
Srgap2	-0.936265198658242	58
Plxdc2	-0.92801974353474	59
Mef2c	-0.927372135473999	60
Jun	-0.927348655939727	61
Rps27	-0.918491685895683	62
Ptgs1	-0.915605834433976	63
Mef2a	-0.912891749201513	64
Tmcc3	-0.911120788409014	65
Maf	-0.909479592421399	66
Ifngr1	-0.895258416484426	67
Abhd12	-0.8862398563088	68
Irf8	-0.883433179493577	69
Lamp1	-0.867341140679668	70
Ctsh	-0.866385238582097	71
Ssh2	-0.865281068122284	72
Itm2c	-0.860985973065399	73
Pla2g15	-0.855725332552729	74
Cmtm6	-0.851460370967164	75
Smap2	-0.8387610125246	76
Ccr5	-0.828681863344028	77
Sgk1	-0.824363311203277	78
Hk2	-0.818221536332043	79
Il6ra	-0.80165471512495	80
Mtdh	-0.793708924684407	81
Inpp5d	-0.788368388645381	82
Unc93b1	-0.776883722523215	83
Ier5	-0.774664712765358	84
Adrb2	-0.771353399894377	85
Ywhah	-0.765944447797775	86
Hpgd	-0.761810537543921	87
Kctd12	-0.759724068775572	88
Rplp1	-0.755116826840544	89
Fam49b	-0.742967900317357	90
Nrip1	-0.742617626537187	91
Tgfb1	-0.734242404485382	92
C1qc	-0.727874777384746	93
Gm9843	-0.726536712566232	94
Zfhx3	-0.724164708523896	95
Adgrg1	-0.723242569044034	96
Tmem176b	-0.711482998609202	97
Cyth4	-0.710157743640691	98
Lrba	-0.709988857861847	99
Rps21	-0.707546610737427	100
Pnrc1	-0.705405591434082	101
Junb	-0.704049046149856	102
H2.K1	-0.7020503138443	103
Apbb1ip	-0.701029018180315	104
Rbm39	-0.695495360117419	105
mt.Nd2	-0.68875146117726	106
F11r	-0.682619043241422	107
AY036118	-0.681927391805192	108
Fcgr2b	-0.678583874553495	109
AF251705	-0.67780097558446	110
Btg1	-0.676133732454585	111
Cebpa	-0.673873480897695	112
Ubc	-0.671601319862339	113
Tcn2	-0.67025757334463	114
Golm1	-0.664237859889092	115
Susd3	-0.661318157522477	116
H2.DMa	-0.658982799534063	117
H2.D1	-0.65691497614306	118
Itgb2	-0.65689562058961	119
Gpr183	-0.654923708382193	120
Cd164	-0.654296894985496	121
Rtn4	-0.651449718703448	122
Samsn1	-0.650828878684661	123
Git2	-0.646602842684124	124
Mertk	-0.644648874621345	125
C1qb	-0.643957597981776	126
Jund	-0.641810878982294	127
Pag1	-0.636974202426678	128
Cd9	-0.635966570094978	129
Gm42418	-0.632590024564304	130
Bin1	-0.631308919465787	131
Entpd1	-0.628092373037103	132
Sirpa	-0.62691067867846	133
Rhoh	-0.626774693739047	134
Fgd2	-0.624021023097676	135
Saraf	-0.617826470684559	136
Lag3	-0.615311812967466	137
Gm26917	-0.608077301511131	138
Pid1	-0.604442527084433	139
Bmp2k	-0.6031716354913	140
Psap	-0.59886983255165	141
Gna15	-0.598671861221641	142
Slc1a3	-0.59691925493746	143
Arglu1	-0.594062045385802	144
Tsc22d4	-0.592500219760573	145
Elmo1	-0.591566853397614	146
Cttnbp2nl	-0.590632852854857	147
Ivns1abp	-0.589540050666911	148
Irf5	-0.589021284908954	149
Gm10073	-0.587261984199175	150
Plekho1	-0.586675955092856	151
Il10ra	-0.582991933547073	152
Rps28	-0.582611557605224	153
Txnip	-0.579263418054947	154
Tmem86a	-0.577494882307136	155
Rabac1	-0.571833133383497	156
Cd84	-0.571027374343992	157
B2m	-0.570156402195261	158
H2.DMb1	-0.569907681708674	159
Orai1	-0.566394686512229	160
Tanc2	-0.562430540565928	161
Frmd4b	-0.56157596234099	162
Luc7l2	-0.55849576281726	163
Cxxc5	-0.553488983107557	164
Ophn1	-0.549671400407612	165
Cebpg	-0.549405718578865	166
Wasf2	-0.548039244141164	167
Srrm2	-0.546523592390372	168
Laptm4a	-0.544498679112067	169
Ptpre	-0.544115016902657	170
Slc29a3	-0.542759034792397	171
Rnase4	-0.540579212129725	172
