gene	diff	rank
Apoe	3.85560959478826	1
Ftl1	2.18799885021513	2
Stmn1	1.87270160469215	3
Ptma	1.6491694689876	4
Cfl1	1.59331695967374	5
Slc25a5	1.54449292181611	6
Pkm	1.51436519914548	7
Tubb5	1.5061679182855	8
Gm10116	1.50227030238612	9
Rps2	1.49171388845521	10
Ldha	1.44302009321423	11
Eif4a1	1.41683096348056	12
Oaz1	1.40816874375886	13
Eif5a	1.38355821036629	14
Pfn1	1.36223558245386	15
Rpl3	1.32164204775283	16
Eef1g	1.29777841632897	17
Hspa8	1.27314401323095	18
Aldoa	1.26940724052211	19
Rplp0	1.26413918580776	20
Ranbp1	1.263901689324	21
Rps5	1.25719408319412	22
Ran	1.21976871542896	23
Gpx3	1.18785469384859	24
Calm1	1.16723389616218	25
Cox4i1	1.162107989016	26
Rpsa	1.16034864029449	27
Rps19	1.15598237503399	28
Nme1	1.15519682134475	29
Rpl4	1.14003012038151	30
Gpx1	1.13940658746444	31
Rpl14	1.09596454150786	32
Cd63	1.08656953223629	33
Npm1	1.08293070124244	34
Ywhae	1.04925814504771	35
Rpl13	1.03121984229926	36
Gapdh	1.02079060951394	37
Rps6	1.02061008485596	38
Plin2	1.01773880071608	39
Pabpc1	1.01562393893039	40
Mif	1.00829924170502	41
H2afz	0.996324065376857	42
Ctsb	0.972011525453936	43
Lyz2	0.969950098235863	44
Eno1	0.969506078124301	45
Hmgn1	0.964039853705074	46
Arpc5	0.94359315630114	47
Slc25a4	0.937824864384003	48
Arpc1b	0.937571877787935	49
Rps18	0.935122559835073	50
Rac2	0.934635436327509	51
Rpl10a	0.932873667092266	52
Naca	0.921585134018938	53
Clta	0.921348738521217	54
Tuba1b	0.918423319280824	55
Rpl8	0.907091389767287	56
Marcksl1	0.89364109055133	57
Prdx2	0.893298410624937	58
Rpl9	0.884041267873826	59
Atp5c1	0.878381156643386	60
Hnrnpa2b1	0.872207862607189	61
Rpl32	0.869101772075532	62
Atp5f1	0.867631604018137	63
Chchd2	0.867434880590193	64
Npl	0.859425944220009	65
Rps3	0.856612720049629	66
Akr1a1	0.853869654635456	67
Cdk4	0.853530935291507	68
Atp5b	0.848215948805541	69
Calm3	0.842011261686523	70
Tpi1	0.839828839243701	71
Arhgdib	0.833637967993422	72
Prdx1	0.833428911671941	73
Psmb2	0.817716728037857	74
Hint1	0.815891772427108	75
Ap2m1	0.801844258276807	76
Taldo1	0.796073374623689	77
Rpl6	0.794136075626496	78
Atp5o	0.788531490706787	79
Ppp1ca	0.787093824845939	80
Tmsb10	0.785463461356306	81
Rps7	0.778713493225065	82
Arl6ip5	0.775331949591269	83
Psmb6	0.774858757571517	84
Rps3a1	0.773363114544732	85
Atp6v1g1	0.768056003164086	86
Ndufb8	0.765734247670537	87
Arpc2	0.758652273021465	88
Spp1	0.756543930393826	89
Rpl19	0.74911694261071	90
Fam96a	0.743702828379385	91
Spcs2	0.740698897402687	92
Sepw1	0.740105225517364	93
Hsp90ab1	0.739931635403361	94
Tuba1a	0.735921812097452	95
X2700094K13Rik	0.730651510459752	96
Mdh2	0.73045862680208	97
Hmgb2	0.722787241581341	98
Psma1	0.721279441025935	99
Etfb	0.720623332882365	100
Eif3k	0.717896845760488	101
Rpl29	0.717837949311017	102
Rps11	0.716533398769728	103
Atp5g1	0.711502275038362	104
Psmb1	0.711101426517212	105
Myl6	0.710936433416556	106
Fkbp1a	0.710120583894567	107
Cryba4	0.708156309425586	108
Park7	0.706708922570826	109
Btf3	0.704005227088584	110
Rpl24	0.700241509947798	111
Snx3	0.694194289448752	112
Hnrnpf	0.694084116964467	113
Pomp	0.690328427327595	114
Snx2	0.69027980825311	115
Rps8	0.68542320960362	116
Rpl7	0.678683253816137	117
Rpl18a	0.675015872161211	118
Cox5a	0.672374322541389	119
Ybx1	0.671095045525394	120
Eif3h	0.667870257049065	121
Gnb2l1	0.667062949205426	122
Fabp5	0.664324309516676	123
Gabarap	0.662456076767819	124
Hnrnpk	0.662036822191498	125
Psmb3	0.6587717571746	126
Ywhaq	0.658059122145519	127
Tubb3	0.65782620765882	128
H3f3b	0.654076878937892	129
Myl12a	0.652906980752472	130
Prmt1	0.652866149793029	131
Gusb	0.646071730835495	132
Ap2s1	0.639790058885515	133
Hn1	0.635952113876242	134
Nedd8	0.634746611966324	135
Tecr	0.633463256379163	136
Vps29	0.624999947270305	137
Rps9	0.621087556642104	138
Rpl15	0.620863076876134	139
Atp5d	0.617384027378374	140
Slc25a3	0.616400040015806	141
Rps27a	0.614074770572419	142
Cct5	0.613002238500276	143
Mrpl28	0.605231502475286	144
Lsm4	0.60427865720176	145
Nnat	0.603899888493378	146
Bax	0.602010245850419	147
Cox6a1	0.599349344930454	148
Sdcbp	0.595972823741759	149
Pdia6	0.595413544015394	150
Eif3f	0.594817132612544	151
Cks1b	0.59449820824484	152
X1110008F13Rik	0.589778963851389	153
Rpl13a	0.589204160050806	154
Tpd52	0.584634466074247	155
Wbp5	0.583947897542155	156
Psma7	0.582661757928	157
Capzb	0.578487287622872	158
X2810417H13Rik	0.577004332457121	159
Atpif1	0.569536348890042	160
Aprt	0.567752988865435	161
Eef1a1	0.567241027334852	162
H2afv	0.565668916251393	163
Rps16	0.563931536625487	164
Rps4x	0.562715707332353	165
Srsf7	0.559100762326838	166
Tubb2b	0.558487780607795	167
Cct8	0.556214739295508	168
Rpl11	0.554988599904507	169
Snrpb	0.55477203988357	170
Rpl18	0.554045962308853	171
Serbp1	0.549899972013437	172
Lgals1	0.548991390214153	173
Mdh1	0.547841716204716	174
Ddx39	0.544242186623297	175
Hnrnpm	0.542343128426375	176
Dnaja1	0.540346229799202	177
Timm13	0.532559046508139	178
Cotl1	0.532398634979789	179
Uqcrc1	0.532144348442259	180
Dynll1	0.53128493602883	181
Hspd1	0.530891730367969	182
H3f3a	0.530662200949232	183
Sep15	0.52903269218156	184
Mlf2	0.528980721930061	185
Birc5	0.528441382407372	186
Rpl5	0.526280200048725	187
Lpl	0.523796458697409	188
Ubb	0.522962881894382	189
Swi5	0.522660845897242	190
Atxn10	0.519695553480575	191
Ube2d3	0.518582620685751	192
Vdac3	0.517844027834335	193
Gpi1	0.513257556830575	194
Ngfrap1	0.510563406365412	195
Glrx3	0.508940108546195	196
Atp6v0e	0.508582223197011	197
