gene	diff	rank
Prpf18	1	1
Srgap2	1	2
Plcl2	1	3
Prex1	1	4
Elmo1	1	5
Tns3	1	6
Lncbate1	1	7
Mbnl1	1	8
Tgfbr2	1	9
Epb41l2	1	10
Etv6	1	11
Cyrib	1	12
Sipa1l2	1	13
Map4k4	1	14
Rreb1	1	15
Coro6	1	16
Nuak1	1	17
Tgfbr1	1	18
Lhfpl2	1	19
Otulinl	1	20
Lgmn	1	21
Pmepa1	1	22
Zeb2	1	23
Dock4	1	24
Cttnbp2nl	1	25
Ski	1	26
Gpr34	1	27
Basp1	1	28
Apbb1ip	1	29
Ly86	1	30
Umps	1	31
Cxxc5	1	32
Mef2c	1	33
Marcks	1	34
Klhl25	1	35
Ophn1	1	36
Pag1	1	37
Tbc1d22a	1	38
Bcor	1	39
Mef2a	1	40
Lyn	1	41
4933433H22Rik	1	42
B430010I23Rik	1	43
Lrch1	1	44
Fli1	1	45
Snx29	1	46
Ncoa3	1	47
Qki	1	48
Ubash3b	1	49
Runx1	1	50
Tmsb4x	1	51
Sall1	1	52
Dleu2	1	53
Zfp217	1	54
Mertk	1	55
Pik3r1	1	56
Entpd1	1	57
Capzb	1	58
9430078K24Rik	1	59
Inpp5d	1	60
Slc45a1	1	61
Chsy1	1	62
Chd9	1	63
Rcsd1	1	64
Chn2	1	65
St3gal6	1	66
Zmynd8	1	67
Cx3cr1	1	68
Wasf2	1	69
Itgb5	1	70
Retreg1	1	71
4930474N09Rik	1	72
A630001O12Rik	1	73
Tefm	1	74
Ccr1	1	75
Irf2	1	76
Slco2b1	1	77
Sirpa	1	78
Prdm1	1	79
Vsir	1	80
Zswim6	1	81
Trim8	1	82
Nek7	1	83
Nrbf2	1	84
Cd9	1	85
Hexb	1	86
Cd180	1	87
Arhgap22	1	88
Rasgrp3	1	89
Rgs10	1	90
Chd7	1	91
Csf1r	1	92
Smad3	1	93
Cadm1	1	94
P2ry13	1	95
Rtn4rl1	1	96
Lpin2	1	97
Hk2	1	98
Dennd4a	1	99
Rapgef1	1	100
Dusp6	1	101
Tbl1xr1	1	102
Snx18	1	103
Ninj2	1	104
Ptpn1	1	105
Pik3ap1	1	106
Mtcl2	1	107
Eed	1	108
Cyfip1	1	109
Tbc1d9	1	110
Klf7	1	111
Trak1	1	112
Marchf10	1	113
Smap2	1	114
C1qtnf9	1	115
Ets1	1	116
Zmiz1	1	117
Mgat4a	1	118
Ctsd	1	119
4930594C11Rik	1	120
Nav3	1	121
Cflar	1	122
Nfatc2	1	123
Myh9	1	124
Rapgef5	1	125
Vps37b	1	126
Ivns1abp	1	127
Fchsd2	1	128
Ubl3	1	129
Tmem135	1	130
Sh3pxd2a	1	131
Maf	1	132
Lair1	1	133
Dock8	1	134
Selplg	1	135
Pten	1	136
Reep3	1	137
Irak2	1	138
Fmnl3	1	139
Vav2	1	140
Mpeg1	1	141
Il21r	1	142
Psma1	1	143
Abca1	1	144
Itga9	1	145
Cltc	1	146
Vgll4	1	147
Rin3	1	148
Gna12	1	149
Bmp2k	1	150
Irf2bpl	1	151
Dock10	1	152
Naa20	1	153
Bmf	1	154
Lrp1	1	155
Rhoh	1	156
Bach1	1	157
Usp6nl	1	158
Dapp1	1	159
Clasp2	1	160
Amz1	1	161
Zfp36l2	1	162
Pacsin2	1	163
Sart3	1	164
A530013C23Rik	1	165
Cmtm7	1	166
Rnf216	1	167
Ptk2b	1	168
Dip2b	1	169
Nfatc1	1	170
Msn	1	171
Irf8	1	172
Dnmt3aos	1	173
Nav2	1	174
Abtb1	1	175
Bach2	1	176
Nrip1	1	177
Notch2	1	178
Nek6	1	179
Lpcat1	1	180
Picalm	1	181
Zfp648	1	182
Tbc1d14	1	183
Ikbke	1	184
Uvrag	1	185
Lyl1	1	186
Fyb1	1	187
Adrb2	1	188
Psap	1	189
Il13ra1	1	190
Ggta1	1	191
Capza2	1	192
Eeig2	1	193
Ywhah	1	194
Gcnt1	1	195
Lrrfip1	1	196
Swap70	1	197
Tnfrsf1b	1	198
Sema4c	1	199
Tcf4	1	200
F11r	1	201
Gpr183	1	202
Cep170	1	203
Ikzf1	1	204
Rubcnl	1	205
Slc1a3	1	206
Ttc7	1	207
A930033H14Rik	1	208
Plekho1	1	209
Mcl1	1	210
Tab2	1	211
Arhgap12	1	212
Wdr26	1	213
Ints6l	1	214
Snx13	1	215
Ptp4a2	1	216
Ankrd44	1	217
Zfp608	1	218
Extl3	1	219
Irf2bp2	1	220
Nfkb1	1	221
Edem1	1	222
4921509O07Rik	1	223
Rassf2	1	224
A830052D11Rik	1	225
Ifngr1	1	226
Hipk2	1	227
Dnmt3a	1	228
Rhob	1	229
Mgat5	1	230
Ccr6	1	231
Fam53b	1	232
Prkcb	1	233
Sla	1	234
Sparc	1	235
Arhgap25	1	236
Maml3	1	237
Fcrl2	1	238
Atp2b1	1	239
Trio	1	240
1700027F09Rik	1	241
Agps	1	242
Fscn1	1	243
Rap1b	1	244
Asap1	1	245
Pygb	1	246
Rps6ka1	1	247
Rbl2	1	248
Arid1a	1	249
1700110C19Rik	1	250
Siglech	1	251
Stk10	1	252
Itpkb	1	253
Itm2b	1	254
Rgmb	1	255
Phxr4	1	256
Cmtm6	1	257
Prkcd	1	258
Numb	1	259
Tmem87b	1	260
Sec14l1	1	261
Sipa1l1	1	262
Vps33a	1	263
Cdk6	1	264
Cap1	1	265
Slc7a8	1	266
Rac1	1	267
Pan3	1	268
Susd6	1	269
Pfkfb3	1	270
Smox	1	271
Skil	1	272
Pgcka1	1	273
Col15a1	1	274
Foxk1	1	275
Prkg2	1	276
AY512915	1	277
Bin1	1	278
Grb2	1	279
Frmd4b	1	280
Pip4k2a	1	281
Plcl1	1	282
Tec	1	283
Tjp1	1	284
Abcg1	1	285
Efhd2	1	286
Trib1	1	287
Cdc42	1	288
Mapk14	1	289
Pik3r6	1	290
Cmip	1	291
Map3k14	1	292
Nfe2l2	1	293
Adora3	1	294
Dhrs3	1	295
Edn2	1	296
E130215H24Rik	1	297
Ehd4	1	298
Mthfs	1	299
Rnf19b	1	300
Psd2	1	301
Sash3	1	302
Arhgef6	1	303
Il6st	1	304
Jak1	1	305
Bcl9l	1	306
Rxra	1	307
Cmklr1	1	308
Dnm2	1	309
Btg2	1	310
P2ry6	1	311
2310008N11Rik	1	312
Tnfaip3	1	313
Sspn	1	314
P3h2	1	315
Nmt1	1	316
Sh2d4b	1	317
Arhgap39	1	318
Sh3kbp1	1	319
Ppcdc	1	320
Tpst2	1	321
Rap1gds1	1	322
Pde3b	1	323
Kctd1	1	324
Slc29a3	1	325
F830045P16Rik	1	326
Chd2	1	327
Slc23a2	1	328
Pld1	1	329
Dtnbp1	1	330
Dclk2	1	331
Plcg2	1	332
Rrbp1	1	333
Txnrd2	1	334
Spi1	1	335
Fbxw11	1	336
Golm1	1	337
A930002C04Rik	1	338
Hs1bp3	1	339
Alox5ap	1	340
Kansl1	1	341
Sema4d	1	342
Akirin2	1	343
Pik3cb	1	344
Ptgs1	1	345
Ube2h	1	346
Camk2d	1	347
Tm2d1	1	348
Actb	1	349
Rab8b	1	350
Nckap5l	1	351
Jun	1	352
Tspan14	1	353
Cradd	1	354
Plxdc2	1	355
Cebpg	1	356
Lims1	1	357
Tcf7l2	1	358
Ly6e	1	359
Foxp1	1	360
Lcp1	1	361
Ralgps2	1	362
Stau1	1	363
Asph	1	364
Hic1	1	365
Adtrp	1	366
Dagla	1	367
Lipc	1	368
Ccdc97	1	369
Atf1	1	370
9130230L23Rik	1	371
Klf3	1	372
Lcp2	1	373
Ldlrad4	1	374
Rasa3	1	375
B4galt4	1	376
Ptafr	1	377
Daglb	1	378
Tfeb	1	379
Ncf2	1	380
Tnfrsf21	1	381
Csnk1e	1	382
Wipf1	1	383
Rbm47	1	384
Enpp6	1	385
4930406D18Rik	1	386
Gngt2	1	387
Usp24	1	388
Tlr7	1	389
Rassf3	1	390
Cst3	1	391
Sh3bp2	1	392
Mylip	1	393
Themis2	1	394
Syk	1	395
N4bp1	1	396
Tpd52	1	397
Card11	1	398
Ptprj	1	399
Hdac9	1	400
Elf4	1	401
Wsb1	1	402
Ankrd13a	1	403
Usp12	1	404
Akna	1	405
Dpysl2	1	406
Cd81	1	407
Larp4b	1	408
5430434I15Rik	1	409
Map3k9	1	410
Disc1	1	411
Dusp7	1	412
Rab14	1	413
Ubtd1	1	414
Rps20	1	415
Mef2d	1	416
S1pr1	1	417
Chaserr	1	418
1110002J07Rik	1	419
Hivep3	1	420
Gdi2	1	421
B4galt5	1	422
Spsb1	1	423
Fads3	1	424
Ywhaz	1	425
Galnt4	1	426
Zdhhc14	1	427
Wbp4	1	428
Ifngr2	1	429
Vrk1	1	430
Il10rb	1	431
Crlf3	1	432
Batf3	1	433
Snx24	1	434
Socs3	1	435
Aff1	1	436
Dyrk1a	1	437
Laptm5	1	438
Hpgds	1	439
Fkbp15	1	440
Tulp1	1	441
Prpsap2	1	442
Pkig	1	443
Cass4	1	444
Ltc4s	1	445
P2ry12	1	446
Glul	1	447
Mvb12b	1	448
Itgam	1	449
Usp35	1	450
Sh3glb1	1	451
Bcl2l1	1	452
Limd2	1	453
Slc22a16	1	454
Ppp1r3b	1	455
Blnk	1	456
Susd3	1	457
Tex14	1	458
Smarca5	1	459
D730003I15Rik	1	460
C1qb	1	461
Itgav	1	462
A230009B12Rik	1	463
Fam133b	1	464
Ccdc12	1	465
Pias1	1	466
Mid1ip1	1	467
Haus8	1	468
Litaf	1	469
Plekho2	1	470
E2f3	1	471
Slc45a4	1	472
Creb1	1	473
Rab11a	1	474
Lpcat3	1	475
Lpar6	1	476
Mpi	1	477
4921511C10Rik	1	478
Iqck	1	479
Poc1a	1	480
