gene	diff	rank
Lyl1	1	1
Ptp4a3	1	2
Dgkz	1	3
Mef2a	1	4
Irf5	1	5
Cd9	1	6
Tns3	1	7
Xxylt1	1	8
Ctnnbl1	1	9
Lipc	1	10
Cmip	1	11
Tgfbr2	1	12
Sema4d	1	13
Tomm20	1	14
Mvb12b	1	15
Etv6	1	16
Ninj2	1	17
A830052D11Rik	1	18
Ncor2	1	19
Elmsan1	1	20
40057	1	21
Snx29	1	22
Ccdc12	1	23
Bach1	1	24
Gcnt1	1	25
Rapgef1	1	26
E230029C05Rik	1	27
Trp53i11	1	28
Slamf7	1	29
Icam2	1	30
Epb4.1l2	1	31
Arid1b	1	32
Psap	1	33
Meox1	1	34
Hist3h2a	1	35
Fam105a	1	36
Rgs3	1	37
1600002D24Rik	1	38
Mgat4a	1	39
Nfkbil1	1	40
Ehbp1l1	1	41
Abr	1	42
Ulk4	1	43
Chsy1	1	44
Tmc5	1	45
Rfx8	1	46
Rnf7	1	47
St3gal2	1	48
Nek7	1	49
Slc35c2	1	50
Tbc1d22a	1	51
Zfp710	1	52
Pqlc2	1	53
Zfp513	1	54
1700019O17Rik	1	55
Srp14	1	56
Ctsz	1	57
Ston2	1	58
Whrn	1	59
Ccr1	1	60
Cep19	1	61
3110062M04Rik	1	62
Arhgap12	1	63
Ubash3b	1	64
Cmklr1	1	65
Gp9	1	66
Nr4a1	1	67
Tmc6	1	68
Rin3	1	69
4933433H22Rik	1	70
Hps4	1	71
Notch2	1	72
Myo7a	1	73
Uvrag	1	74
Nfatc1	1	75
H3f3a	1	76
Nfatc2	1	77
Fam46c	1	78
Ptma	1	79
P4ha1	1	80
Hhip	1	81
Cdca7l	1	82
Ncs1	1	83
Tns1	1	84
Rgs10	1	85
Irf2	1	86
Wipf1	1	87
Naglu	1	88
Cass4	1	89
Fam117b	1	90
1700017B05Rik	1	91
6030407O03Rik	1	92
Txndc2	1	93
Man1c1	1	94
Gapdh	1	95
Slc46a2	1	96
Pmepa1	1	97
Calm2	1	98
Pth1r	1	99
Usp40	1	100
4930596I21Rik	1	101
1110059E24Rik	1	102
5031439G07Rik	1	103
Ier3	1	104
Fth1	1	105
Hivep3	1	106
Rrp1b	1	107
Lrch1	1	108
Acvr2b	1	109
Golm1	1	110
Foxn3	1	111
Parvb	1	112
Prkcz	1	113
Otos	1	114
Rps6ka1	1	115
Spire1	1	116
Bcor	1	117
Lrguk	1	118
Sik1	1	119
Lpin2	1	120
Cops8	1	121
Dmrtb1	1	122
Ccdc109b	1	123
Hpcal1	1	124
Spsb1	1	125
Comt	1	126
Susd3	1	127
Pdgfb	1	128
Tmem173	1	129
Cd82	1	130
B3gnt7	1	131
Dst	1	132
Trp53rk	1	133
Mpg	1	134
Cd81	1	135
Tmem64	1	136
Mef2d	1	137
Chst8	1	138
Cdh26	1	139
Camk2n1	1	140
Tlr9	1	141
Gadd45g	1	142
Dazap1	1	143
Hddc3	1	144
Socs3	1	145
D8Ertd82e	1	146
Trib1	1	147
Coq2	1	148
Fyb	1	149
Elmo1	1	150
Bcl2l11	1	151
Mapre2	1	152
Sp2	1	153
Zmiz1	1	154
Col15a1	1	155
B2m	1	156
Hexa	1	157
Osbp	1	158
Rassf3	1	159
Scarf2	1	160
Rgs2	1	161
Tmcc3	1	162
Arpc1b	1	163
Rassf4	1	164
Tbc1d1	1	165
Stk10	1	166
Nacc2	1	167
Ldhd	1	168
Relt	1	169
Dusp27	1	170
A530013C23Rik	1	171
Bmf	1	172
1700110C19Rik	1	173
4930428G15Rik	1	174
Vps37b	1	175
Ppa2	1	176
2610002J02Rik	1	177
Kcnk13	1	178
Ifitm10	1	179
37316	1	180
Tmem68	1	181
4930474N09Rik	1	182
Rnf144b	1	183
Smad6	1	184
Siah1a	1	185
Ehd4	1	186
Arhgap25	1	187
Dock8	1	188
Hrc	1	189
Rtcb	1	190
Clic5	1	191
Blcap	1	192
Slco2b1	1	193
4930445N18Rik	1	194
Nol11	1	195
1700011E24Rik	1	196
Eftud1	1	197
Kl	1	198
Senp8	1	199
Mob3a	1	200
Ankrd13d	1	201
Smad3	1	202
LOC102634101	1	203
Chd7	1	204
Serpine1	1	205
Sidt2	1	206
Slc39a4	1	207
Trak1	1	208
Cbfa2t3	1	209
6330416G13Rik	1	210
Dirc2	1	211
Cpb2	1	212
Ptch1	1	213
Capzb	1	214
Bre	1	215
Elfn1	1	216
E2f8	1	217
Fnbp1	1	218
Myt1l	1	219
Samd14	1	220
C330006A16Rik	1	221
St3gal4	1	222
BC100451	1	223
8030423J24Rik	1	224
Kcnk7	1	225
Slc29a1	1	226
Dab2ip	1	227
Ivns1abp	1	228
Tle3	1	229
Lemd2	1	230
Ikbke	1	231
Vps13d	1	232
Prss8	1	233
St3gal6	1	234
Akr1b3	1	235
Cul9	1	236
Nrros	1	237
Hk2	1	238
Sec13	1	239
Mta3	1	240
Cdc42bpg	1	241
Bmp2k	1	242
Kank1	1	243
Arhgap15	1	244
Ly86	1	245
Abhd15	1	246
Arl15	1	247
Fbxo2	1	248
Map4k4	1	249
Agps	1	250
Osgin1	1	251
Raver2	1	252
Cndp2	1	253
Dnah2	1	254
Kif23	1	255
Bex6	1	256
Zfand5	1	257
Nron	1	258
Pvrl4	1	259
Armc9	1	260
Hsp90ab1	1	261
Arhgef2	1	262
Noxa1	1	263
Itga9	1	264
Lhfpl2	1	265
Snx24	1	266
Vrk1	1	267
Rcan1	1	268
Ascc1	1	269
Map3k9	1	270
Sdcbp	1	271
Ppp2r5c	1	272
Tmem184b	1	273
Tmem54	1	274
Frmd4a	1	275
Ubtd1	1	276
D930032P07Rik	1	277
Tcf7l2	1	278
Ralb	1	279
Rnf145	1	280
Cmtm3	1	281
Notch1	1	282
Sgsm3	1	283
Plxdc1	1	284
Tex29	1	285
Angptl2	1	286
LOC101243624	1	287
Ergic1	1	288
Galnt10	1	289
5033406O09Rik	1	290
Oxa1l	1	291
Fam65c	1	292
Slit3	1	293
4933431G14Rik	1	294
Nuak1	1	295
Slc38a2	1	296
E030024N20Rik	1	297
Aff1	1	298
Dagla	1	299
Uspl1	1	300
Cmtm7	1	301
Mvp	1	302
Slc25a19	1	303
Dtnbp1	1	304
Ankrd13a	1	305
1700030A11Rik	1	306
Dennd3	1	307
Fgfr1op	1	308
Exog	1	309
P2ry6	1	310
Tmem50b	1	311
Camkk2	1	312
Slc45a4	1	313
Inf2	1	314
Zdhhc14	1	315
Supt20	1	316
Slc5a10	1	317
Tiam1	1	318
Pip4k2a	1	319
Slc22a12	1	320
Chst15	1	321
Sh3pxd2b	1	322
Tbx19	1	323
Itga4	1	324
Lbr	1	325
Il10rb	1	326
Entpd1	1	327
Dab2	1	328
Morn2	1	329
1500011B03Rik	1	330
Tmem235	1	331
Pak4	1	332
Aqp11	1	333
Furin	1	334
Ppap2a	1	335
Dstn	1	336
Srsf9	1	337
Atp8a2	1	338
Dnajc5	1	339
Zfp704	1	340
Col11a2	1	341
Shisa3	1	342
Clec2l	1	343
Lrrc52	1	344
4930562C15Rik	1	345
D10Jhu81e	1	346
Pecam1	1	347
Ppp4r1	1	348
Dyrk2	1	349
Park2	1	350
Sh3bp5	1	351
Rhoh	1	352
Sort1	1	353
Pld5	1	354
Itgb2	1	355
B4galt6	1	356
Xirp1	1	357
Zfp36l1	1	358
Dupd1	1	359
Sparc	1	360
Jun	1	361
Sf3a3	1	362
Atp6v0a2	1	363
Heatr5a	1	364
Gsn	1	365
Abl1	1	366
Nav2	1	367
Herpud2	1	368
Kctd1	1	369
Card11	1	370
Poldip3	1	371
Specc1l	1	372
Iqgap3	1	373
Gpr157	1	374
Rbm5	1	375
Tbrg3	1	376
Kif16b	1	377
Enpp6	1	378
Ifngr2	1	379
Cracr2a	1	380
Dexi	1	381
Rbm47	1	382
Soga1	1	383
Psma6	1	384
Slc38a10	1	385
Ccr7	1	386
Rab27a	1	387
Egr2	1	388
Kcng2	1	389
Ppfibp1	1	390
Hic1	1	391
Eif3j2	1	392
Slc22a16	1	393
Runx3	1	394
Fads3	1	395
Stk25	1	396
Klhdc10	1	397
4933402D24Rik	1	398
Ptprf	1	399
B3gnt2	1	400
1700020N01Rik	1	401
Amer2	1	402
Gnai2	1	403
Tnrc6b	1	404
B9d1	1	405
Vps8	1	406
Sec31a	1	407
BC017158	1	408
Rac1	1	409
Bach2	1	410
Atp8b1	1	411
Chd5	1	412
Jarid2	1	413
Arl6ip5	1	414
Atg3	1	415
Stambp	1	416
Cracr2b	1	417
Chst14	1	418
Srgap2	1	419
9330111N05Rik	1	420
Nlrp1b	1	421
1700009P17Rik	1	422
Gdap1l1	1	423
Plxna4os1	1	424
Cdyl	1	425
Slc16a3	1	426
Sall1	1	427
Sec14l2	1	428
Cux2	1	429
Gal	1	430
Csf1	1	431
Fhod1	1	432
Rhobtb1	1	433
Mbnl1	1	434
Gpsm1	1	435
Fli1	1	436
Zeb2	1	437
4930401O10Rik	1	438
Ctu2	1	439
Sirt4	1	440
Cx3cr1	1	441
Ninj1	1	442
Fam49b	1	443
Inpp5k	1	444
