gene	diff	rank
Prex1	1	1
Lncbate1	1	2
Srgap2	1	3
Prpf18	1	4
Ski	1	5
Mbnl1	1	6
Bcor	1	7
Tbc1d22a	1	8
4930511A08Rik	1	9
Sipa1l2	1	10
Map4k4	1	11
Tns3	1	12
Rxra	1	13
Tcf4	1	14
Fli1	1	15
Cxxc5	1	16
Vav2	1	17
Ncor2	1	18
Tgfbr2	1	19
Epb41l2	1	20
Elmo1	1	21
Nuak1	1	22
Foxp1	1	23
B430010I23Rik	1	24
9130015G15Rik	1	25
Capzb	1	26
Zmiz1	1	27
Tspan14	1	28
Rtn4rl1	1	29
Vsir	1	30
Inpp5d	1	31
Ubash3b	1	32
Mtcl2	1	33
Maml3	1	34
Arid1b	1	35
Lrch1	1	36
Usp6nl	1	37
Ets1	1	38
Slc45a1	1	39
Tiam1	1	40
Chn2	1	41
Celf4	1	42
Nav2	1	43
Vgll4	1	44
Irf8	1	45
Lyl1	1	46
Pmepa1	1	47
Runx1	1	48
1700016A09Rik	1	49
Zfp608	1	50
Trak1	1	51
Myh9	1	52
Prdm1	1	53
Nfatc2	1	54
Cyrib	1	55
Smap2	1	56
Cadm1	1	57
Coro6	1	58
4930474N09Rik	1	59
Mef2c	1	60
Adgrl2	1	61
Cmip	1	62
Med13l	1	63
Dock4	1	64
Gna12	1	65
Ophn1	1	66
Nfatc1	1	67
Tcf7l2	1	68
Rreb1	1	69
Sh3pxd2a	1	70
Ly86	1	71
Dhrs3	1	72
Chd9	1	73
Pip4k2a	1	74
Qki	1	75
Pag1	1	76
Trio	1	77
Mgst2	1	78
Ptprj	1	79
Gpr34	1	80
Arhgap22	1	81
Fam53b	1	82
Bcl9l	1	83
Rapgef1	1	84
Edn2	1	85
Kctd1	1	86
Lgmn	1	87
Nr3c1	1	88
Nav3	1	89
Hdac9	1	90
Klf12	1	91
Entpd1	1	92
Foxk1	1	93
Ptpn1	1	94
Vps37b	1	95
2010106C02Rik	1	96
Tpst2	1	97
Snx18	1	98
Otulinl	1	99
Hk2	1	100
Lrp1	1	101
Klhl25	1	102
Cltc	1	103
C1qtnf9	1	104
Msn	1	105
Sgip1	1	106
Ext1	1	107
Tgif1	1	108
Nol4l	1	109
Itgb5	1	110
Foxn3	1	111
Spsb1	1	112
Pik3r1	1	113
