gene	diff	rank
Padi4	-5.47457400067356	1
Pglyrp1	-4.81235328658537	2
Serpinb1a	-4.3391327305348	3
Hp	-3.79046557642103	4
Hdc	-3.59599402045152	5
Flt1	-2.83214128001507	6
H2-Eb1	-2.1343086489852	7
1700011I03Rik	-2.10964907401544	8
Oas3	-1.89848004957825	9
Gp49a	-1.88198284978838	10
Plxnc1	-1.87879721601724	11
Mki67	-1.87258188783728	12
Adam8	-1.86854438202366	13
Ch25h	-1.86464441659454	14
Iigp1	-1.83371900286373	15
Klf4	-1.80019341494988	16
Mns1	-1.79916924987436	17
Chil1	-1.79099709799981	18
Cxcl13	-1.74744243306419	19
Tdo2	-1.74398688849233	20
Gm1966	-1.70244272787528	21
Cd44	-1.48824254812911	22
Cybb	-1.40051729922475	23
Xdh	-1.38722011164225	24
Syt6	-1.30457678797755	25
Ptger4	-1.30394562064311	26
Rsad2	-1.29860605184269	27
C3	-1.19260354123342	28
Gm20605	-1.16859946438167	29
C920021L13Rik	-1.15617188404431	30
Bhlhe40	-1.14438362605105	31
Kcnq1ot1	-1.14436247168587	32
Samd9l	-1.1433520256873	33
Gm15760	-1.13542973491989	34
Usp34	-1.12451595478477	35
Trim41	-1.12085234763585	36
Hyal3	-1.09167839843283	37
Sh3pxd2a	-1.08206275650622	38
Malat1	-1.07641613634706	39
Slfn10-ps	-1.07492007479226	40
Cdkn1a	-1.0483288971557	41
4933439C10Rik	-1.01191597200175	42
Kcna3	-1.01170752549664	43
Gm16023	-1.01070035151428	44
Lilrb4	-0.998475899371072	45
Utrn	-0.990707188265624	46
Gm9958	-0.984313904981329	47
Cd74	-0.972551790130672	48
Klrd1	-0.953848383259192	49
Wnk4	-0.944156371886137	50
H2-Ab1	-0.939127264512379	51
Cyp4f18	-0.91730229140351	52
Axl	-0.90973362018929	53
Nlrp1c-ps	-0.900603760680554	54
Rhou	-0.900453372325937	55
Slc2a6	-0.887111795453696	56
D730005E14Rik	-0.871638119311922	57
Bod1l	-0.865097368853862	58
Gm20257	-0.86207410979289	59
Myo5a	-0.855900801360629	60
Vamp1	-0.852522589345773	61
Hnrnph3	-0.851329026203566	62
E330033B04Rik	-0.848468859837903	63
Rgs9	-0.835295487767534	64
Wnk1	-0.828221871554267	65
Hcar2	-0.822856656097109	66
4931431C16Rik	-0.814397182550864	67
Ash1l	-0.812475083731466	68
9330151L19Rik	-0.808119661934519	69
Macf1	-0.792156378131048	70
Unc5b	-0.778869463665913	71
Fam65b	-0.774875583985431	72
Ddx60	-0.774192634130071	73
Dhx9	-0.767289188674588	74
Gm10578	-0.755832457486538	75
