gene	diff	rank
Slc7a10	3.63495353335418	1
Slc38a3	3.3078786164395	2
Slc13a4	2.91693401681627	3
Ace	2.79836405424668	4
Kl	2.57377053560187	5
Bfsp1	2.53644912810112	6
Sulf1	2.3936112836295	7
Kcnj13	2.08513012375778	8
Zfp507	1.74894290366879	9
Gpr15	1.56833309151797	10
Hs6st2	1.36051174027728	11
Lgi1	1.33849575631122	12
Casc1	1.29706051206989	13
2900026A02Rik	1.10551957479077	14
Hk1os	0.998176812062291	15
Lrp11	0.859908695179007	16
Rapsn	0.779926703116021	17
Arhgap19	0.654009959631465	18
Kcnj9	0.651579955112323	19
Nbl1	0.635208007782247	20
Psat1	0.620146673255719	21
Tmem8b	0.598859295552605	22
Cd22	0.58860399684616	23
Lypd6	0.578526753444965	24
Angptl7	0.555093496889713	25
Itpr3	0.538626508001603	26
Cryz	0.522780003647453	27
Dusp27	0.514259815353015	28
Eif5a2	0.512694641682839	29
Npl	0.510537071507615	30
Plin3	0.50362685520092	31
Fnip2	0.503152355650968	32
Pspc1	0.494350326448401	33
Sdk1	0.485749822412118	34
Cd63	0.484206959170329	35
Pex7	0.476824735987477	36
Man2a1	0.476209339905784	37
Cad	0.472883967681158	38
Lag3	0.472472037034417	39
Tuba1a	0.46471855288929	40
Ppp1cb	0.457927258360411	41
Btbd7	0.452960826012626	42
E430025E21Rik	0.45239983216534	43
Rnf7	0.446075369923875	44
Immp1l	0.44599050454294	45
Efemp2	0.443329620119247	46
2510009E07Rik	0.437706778756592	47
Pde2a	0.434294295069985	48
Adipor1	0.434265802216157	49
Fblim1	0.433353225498382	50
Vps29	0.432823924886942	51
Rab5b	0.432010125319682	52
Cat	0.430540826286952	53
Flnb	0.429411983942538	54
Gfpt1	0.428642526796128	55
Snap29	0.427282938144212	56
Rbbp4	0.426359247207399	57
Gm1821	0.42557559521687	58
Bnip3	0.418321633179696	59
Mpc1	0.415764483908692	60
Nup214	0.414864490436441	61
Ank2	0.413193271552161	62
Gnpda2	0.411822894578698	63
Hcfc1	0.411312586796703	64
Ahcyl2	0.408787324410699	65
Hsd17b4	0.403599921376919	66
Sdcbp	0.402890480518861	67
Odc1	0.401686138043877	68
Gpd1l	0.401263293359525	69
Cndp2	0.400451741390891	70
Smim14	0.39851684882598	71
Rcan3	0.398415543256316	72
Chchd2	0.397894454842926	73
Pls3	0.397464580248115	74
Gsto1	0.397411732568018	75
Myh9	0.396597009162818	76
Rab11fip5	0.395831383086505	77
Tle1	0.39518582000198	78
Nxt2	0.393077199071838	79
Atp6v1a	0.39097594812866	80
Abca2	0.389560584490595	81
Ldhb	0.389070317298926	82
Fam21	0.388544895723581	83
Tln1	0.386668520773124	84
Ly9	0.385202776498573	85
Dhrs1	0.384362345963228	86
Nucks1	0.382084953245887	87
Ankfy1	0.379987787096433	88
Slc25a5	0.379776111092483	89
Numa1	0.379090523398668	90
Hdhd2	0.377875682327454	91
Gpt2	0.375996749050969	92
C330007P06Rik	0.375763459858941	93
Fundc1	0.374350172556334	94
Dazap2	0.372337275877799	95
Tnfaip2	0.371803397635834	96
Rassf4	0.370975612849909	97
Fam172a	0.369495110588503	98
Cnot1	0.368539855026756	99
Galk2	0.368298967501826	100
Vamp7	0.366588042775189	101
Gltp	0.366578799767495	102
Tex2	0.365779972835289	103
Cetn2	0.363268088187075	104
Rpe	0.360921785467631	105
Anxa5	0.360733536345097	106
Isoc1	0.36025164240431	107
Sptssa	0.357887070715776	108
Rab7	0.357477337944401	109
Mag	0.356675307783392	110
Prkci	0.355610159069328	111
Prps2	0.355184632221384	112
Pafah1b2	0.354306412990749	113
Wdr7	0.352671543440539	114
S1pr1	0.350738729672863	115
Ipmk	0.350115749362337	116
Cltc	0.349673565836036	117
Acly	0.34842321126005	118
Fis1	0.346537826256292	119
Mob1a	0.345523462779256	120
Tef	0.345013063817775	121
Abhd4	0.344816914147565	122
Tmod3	0.34345723964249	123
Add3	0.342112481920244	124
Spg11	0.341120230937693	125
Adi1	0.340687062813344	126
Gab1	0.338710651632943	127
Fam210b	0.338547118783627	128
Skp1a	0.337594388486448	129
Pfkfb3	0.336414050602611	130
Gnpda1	0.335979909990733	131
Spag9	0.33506889698605	132
Neurl1a	0.333682972526811	133
Abca9	0.333496596683479	134
Wdfy4	0.332839236785026	135
Commd10	0.332726103666709	136
Idh3a	0.332578764808329	137
Map1lc3b	0.332518834623314	138
Ifih1	0.331201700888487	139
Dock11	0.330799487333765	140
Fndc3a	0.327952045135676	141
Gbe1	0.32793833100897	142
Atg3	0.327747718201407	143
Vps35	0.326855990580338	144
Fech	0.325703710336295	145
Atp6v1g1	0.325656053049582	146
Hadhb	0.324288865547074	147
Rcbtb2	0.323328206565699	148
Sirt2	0.323306241199129	149
Gabarapl2	0.323000177019534	150
Aldh4a1	0.322938232083489	151
Ube2j1	0.320970353845344	152
Aldh3a2	0.320197571586738	153
Hadh	0.319383996298731	154
Arrdc3	0.318454905433228	155
Plekhb2	0.318192365734797	156
H3f3a	0.316540853786295	157
Rbl2	0.316221405213234	158
Fam102b	0.315750791629029	159
Cstf2	0.314847428093385	160
Dstn	0.314826538283163	161
Cab39	0.312809442279137	162
Crybb1	0.31268438232277	163
Pebp1	0.312304304832724	164
Nek6	0.311946461885649	165
Sepp1	0.311750155366918	166
Zfp706	0.311366304144635	167
Liph	0.310522101402118	168
Sumo1	0.309959262700556	169
Dock2	0.308314810680484	170
Clns1a	0.306523670726849	171
Vwa5a	0.306423036109119	172
Parp12	0.306302235401914	173
Lypla1	0.305550077208219	174
Mtrr	0.304388059829803	175
Scd2	0.304108698990889	176
Ghitm	0.303762218299621	177
Bzw1	0.303727105305345	178
Serp1	0.303195420287134	179
Timp2	0.303058302599634	180
Msn	0.302465517084698	181
Tnks2	0.302289623498463	182
Scp2	0.302070798964435	183
Rab6b	0.301186594353884	184
Med28	0.301044581065713	185
Ywhaq	0.300572582708422	186
Rnf5	0.300108805538018	187
Ap1s2	0.300023178056375	188
Nup133	0.299976632648984	189
Mroh1	0.299585936802964	190
Hnrnpk	0.29957520382116	191
Pld3	0.299415208366489	192
Copa	0.297412159351553	193
Akr1a1	0.297367763792234	194
Mtpn	0.297256760650605	195
Arl5a	0.296770612102552	196
Ncoa2	0.295532617574771	197
Mff	0.295258530731248	198
Polr2b	0.294523506338254	199
Hp1bp3	0.294379241863704	200
Ugp2	0.293973383382688	201
Aldh2	0.293878314125715	202
Abr	0.293119594318267	203
Fam174a	0.289861197372525	204
Fscn1	0.288711244013571	205
Emr1	0.288688136797905	206
Arsg	0.288214583987591	207
Eif5a	0.288086955034208	208
Prdx3	0.287655461588437	209
Snap23	0.287639291614263	210
Hprt	0.286798423112525	211
Chmp2b	0.285381036039975	212
Anxa7	0.284210804130192	213
Acadl	0.283752474725399	214
Fbxw11	0.283553129063278	215
Ndfip1	0.283205042598989	216
1700021K19Rik	0.283169206908583	217
Slc25a4	0.282949900028529	218
Dynlt3	0.282073249088947	219
Avl9	0.282070787218232	220
Calm2	0.282016079664977	221
Cyfip1	0.28201010446956	222
Tjp2	0.28160358100736	223
Ppp2r5c	0.281232245919335	224
Rab31	0.280772609949113	225
Prdx1	0.280665766821536	226
Anxa6	0.279541148151403	227
Ppp3r1	0.279101374295325	228
Lyz2	0.278989523022578	229
Suclg2	0.278720651929711	230
Ubqln1	0.278627840305972	231
Wdr1	0.27820140212888	232
Sumo3	0.27801100470445	233
D15Ertd621e	0.277495495976244	234
Arpc5	0.277342453155505	235
Psma6	0.277049197052569	236
Rgs10	0.276989453084346	237
Asb13	0.276977740134858	238
Tbc1d8	0.276308897802652	239
Prdx2	0.276232576035087	240
Hnrnpul1	0.275749040622485	241
Morf4l1	0.275690203528226	242
Bnip3l	0.275404772972611	243
Rap1b	0.275096030469531	244
Oxct1	0.27459749382672	245
Tmem65	0.273347216824078	246
Atp6v1c1	0.272654524576057	247
Renbp	0.272082078892854	248
Rab32	0.271637774276211	249
Abcc3	0.271449156652541	250
Pja2	0.27113991050649	251
Eif4g2	0.270877044732179	252
Rab18	0.270858080643093	253
Kpna3	0.270524682331293	254
Atf2	0.270187306972169	255
Prdx5	0.269936269505806	256
Arhgap31	0.269872038326984	257
Man1c1	0.269277501443068	258
Creg1	0.268906346105893	259
Atp6v0d1	0.268176524379674	260
Psmb2	0.26783252618004	261
4833439L19Rik	0.267000641167786	262
Mbnl1	0.266951541390879	263
Nsf	0.265709212076626	264
Cd2ap	0.2656022303811	265
Hibadh	0.264365732489437	266
Arf3	0.264251758698795	267
Rps3	0.26383572456086	268
Man1a	0.26374147151019	269
Uap1l1	0.263577039455142	270
Jak1	0.262411120682052	271
Ddb1	0.262307663312176	272
Psma1	0.26210895537694	273
Vapa	0.261949223380729	274
Tollip	0.261729914292338	275
Cnp	0.261414363024622	276
Vamp3	0.261297811155067	277
Cd9	0.261292088430007	278
Snx10	0.261061315184561	279
Ube2h	0.260986717645787	280
Pcmtd2	0.260951880482191	281
Fcgr3	0.26090311093772	282
Tgfa	0.26048211248883	283
Gm2a	0.259164862029353	284
Uba1	0.258556630277165	285
Ywhab	0.258505028249552	286
Ube2g1	0.258467693799899	287
Spg21	0.258248622282902	288
Rab8b	0.257107918210742	289
Fcgrt	0.256969783687676	290
Ostf1	0.256098049464348	291
Rsu1	0.256049719741638	292
Paics	0.255999339049175	293
Trf	0.254970939866338	294
Vps4b	0.25456912425716	295
Slc40a1	0.254381363612187	296
Myl12a	0.254311368444797	297
Hif1a	0.253913427514998	298
Ppp1ca	0.252538003837378	299
Sgpl1	0.250331501562163	300
Capza1	0.249519995807817	301
Prkacb	0.249476991240671	302
Slc25a39	0.249393278076982	303
Gosr2	0.248884563295192	304
Ptgr2	0.248780414979776	305
Pak2	0.248388250722168	306
Abhd17c	0.247869944205754	307
Rnf187	0.247503725532122	308
Tdrd7	0.247467244678453	309
Zfr	0.247016112749043	310
Stard7	0.246800298896343	311
Atp5c1	0.246613597394868	312
Phyhd1	0.245480057696513	313
Ube2d3	0.24546699215788	314
Dpysl2	0.245077928602422	315
Cldn25	0.244714316062013	316
Ap1b1	0.24295829738068	317
Mat2b	0.242138948206329	318
Sdha	0.240944802132588	319
Myl12b	0.240062452665722	320
Camk1	0.239913375427515	321
Mlec	0.239828308442606	322
Brk1	0.239131779994016	323
Add1	0.238819239044569	324
Tpp1	0.238150484984179	325
Oxr1	0.238054878486848	326
Skap2	0.236831151417794	327
Nploc4	0.236198872239314	328
Capza2	0.2354498269975	329
Mdh1	0.235011934121401	330
Sdhd	0.234990928715792	331
Ulk2	0.234009542481882	332
Ikbkg	0.233967458227079	333
Usp22	0.233475715529821	334
Ctss	0.23271206107705	335
Gnai3	0.231146823859451	336
Itch	0.230063433760248	337
Atxn10	0.230035126050629	338
Ppp2r1b	0.22921193690565	339
Usp8	0.229050349022347	340
Fam195b	0.22741760941041	341
Lamp1	0.225442657256806	342
Tmem9b	0.223597032845861	343
Ubl3	0.223493870796739	344
Uqcrc1	0.223219359828797	345
Vcp	0.223067885493045	346
Capzb	0.222836989327673	347
Mtch1	0.222728390980612	348
Acap2	0.221043528660025	349
Cdc42	0.219891299250798	350
Ctsb	0.21942396433791	351
Pitpna	0.219422655814636	352
Rab2a	0.218627643624677	353
Prkar1a	0.218486906075418	354
Paip2	0.218106731848267	355
Map2k1	0.217862385158325	356
Vdac2	0.21574495583797	357
Tprgl	0.215520385182896	358
Dnm2	0.214405616043921	359
Ankrd13a	0.213719234236264	360
Cmtm6	0.21321652330396	361
Ctsa	0.211358825718715	362
Rab11a	0.210432015005844	363
Hsbp1	0.209693552156835	364
Anxa3	0.209238313223209	365
Necap2	0.208357042692749	366
Rac1	0.207359569128788	367
Cnbp	0.206668941697851	368
43358	0.206424485229179	369
Lgals9	0.206142524605042	370
Gdi2	0.205757453275001	371
Gng10	0.200530571481113	372
Inpp5d	0.200245552122843	373
Ywhaz	0.19986516617593	374
Pip4k2a	0.197426841805051	375
Ppp2ca	0.187078472624152	376
Tnfrsf10b	0.0677247742491692	377
