gene	diff	rank
Tmem119	-0.993346971752785	1
Selplg	-0.974152185255348	2
P2ry12	-0.958408912743329	3
Malat1	-0.788518182261252	4
Rgs2	-0.722310346929203	5
Jun	-0.700101180127465	6
Vsir	-0.676382432990598	7
Ecscr	-0.622672349605661	8
Tgfbr1	-0.618861541517646	9
P2ry13	-0.594948852457939	10
Rhob	-0.590543303244089	11
Adap2os	-0.55690068193506	12
Ywhah	-0.526749567039076	13
Cst3	-0.515349699918677	14
Gm26917	-0.496232289287212	15
Gpr34	-0.493928507877555	16
Cx3cr1	-0.480273389500602	17
F11r	-0.45335407992214	18
Serinc3	-0.451233828215401	19
Ivns1abp	-0.448995907333494	20
Slc2a5	-0.443695127736855	21
Cmtm6	-0.432745671486684	22
Lrba	-0.430641551812782	23
Ifngr1	-0.416236309880179	24
Susd3	-0.414709752016823	25
Rsrp1	-0.395759570607259	26
Btg2	-0.395406251823647	27
Basp1	-0.393413142644132	28
Glul	-0.381963405400171	29
Tuba1a	-0.372355325866685	30
Hmha1	-0.366846963650204	31
Jund	-0.363802558581015	32
Mafb	-0.359118262175	33
Adrb2	-0.356381337051134	34
Tmem173	-0.354475472998924	35
Calm2	-0.353749474009304	36
Bin2	-0.347788153284315	37
Rnase4	-0.327506791001785	38
Bin1	-0.325617890294899	39
Fscn1	-0.323270728158348	40
Txnip	-0.31890416977354	41
Ubc	-0.317213949187025	42
Abi3	-0.31308778573443	43
Fam105a	-0.30755659127062	44
Frmd4a	-0.306713986830424	45
Lpcat2	-0.304648750532425	46
Sox4	-0.303234389017338	47
Zfhx3	-0.300090506353622	48
Golm1	-0.298278155679924	49
Ptgs1	-0.297582994488808	50
Ccr5	-0.296437899721333	51
Slco2b1	-0.296158454944815	52
St3gal6	-0.295022862217439	53
Csf1r	-0.289806424636486	54
Scoc	-0.288249709027769	55
AY036118	-0.283058524992175	56
Arhgap5	-0.282215055531865	57
Sgk1	-0.273278737516288	58
Cyth4	-0.263195869327592	59
Mef2a	-0.256437966762639	60
Nrip1	-0.253301455904246	61
Elmo1	-0.25201319833149	62
Pid1	-0.251956285005499	63
Adap2	-0.251685176830603	64
Mtdh	-0.249212343671638	65
Dusp6	-0.245086808513869	66
Plekho1	-0.245072605217339	67
Hexb	-0.243787589249662	68
Adgrg1	-0.241536607861673	69
Tanc2	-0.23996107974977	70
Klk8	-0.238021050606768	71
Rhoh	-0.236483784047678	72
Hpgd	-0.234750654193449	73
Gm42418	-0.231633256512756	74
Alox5ap	-0.227941477394195	75
Gna15	-0.227913400004269	76
Cd14	-0.227796514544897	77
Cd164	-0.227146274717454	78
Il6ra	-0.226557966209484	79
Commd8	-0.225993599144247	80
Slc40a1	-0.224825591991897	81
Fam212a	-0.223982209076493	82
X0610040J01Rik	-0.223736384576304	83
Tspan13	-0.221565856562587	84
Ddx5	-0.217849232136881	85
Ccng2	-0.217568394755157	86
Trf	-0.213549493593928	87
Tsc22d4	-0.213412156138646	88
Tpst2	-0.209700036154492	89
Entpd1	-0.209198861771946	90
Akirin2	-0.207499952171627	91
Camk2n1	-0.20619016681133	92
Cd81	-0.20611279938967	93
Il10ra	-0.205437626335042	94
Tgfb1	-0.205063822231662	95
Gm26916	-0.204556952547295	96
Rnaset2a	-0.203584231188022	97
Son	-0.202977779424991	98
Tmem100	-0.202758910709652	99
Ckb	-0.200155556348299	100
Ldhb	-0.19587415692854	101
Ifi27	-0.193504732053473	102
Gfm2	-0.193134482475878	103
Hhex	-0.191562041761484	104
Irf5	-0.188819879730797	105
Cmtm7	-0.186418485392141	106
Junb	-0.185004442701536	107
Pla2g15	-0.184615093272821	108
March1	-0.184273597442921	109
Arhgef40	-0.182324471164896	110
Snx29	-0.180887031072758	111
Itgb5	-0.179655615561886	112
Prkca	-0.178634737978296	113
Ptafr	-0.178260572742446	114
Gpr183	-0.177720255702008	115
Sparc	-0.177159197860774	116
St3gal5	-0.176273122825483	117
Serinc1	-0.175274648358436	118
Lpcat3	-0.174458350016479	119
Saraf	-0.174262631433886	120
Lgmn	-0.174215654094062	121
Siglech	-0.173983070398192	122
Laptm5	-0.173663843948491	123
Sall1	-0.173134424080135	124
Pag1	-0.173097899277103	125
Tnfaip8l2	-0.171908979535227	126
Dock10	-0.171441167801744	127
Sipa1	-0.171147390993924	128
Cttnbp2nl	-0.171010038254051	129
Mylip	-0.170929256160274	130
Ssh2	-0.170341619458284	131
Fus	-0.170256433210757	132
Rab3il1	-0.168907146776865	133
Rabac1	-0.167935979467836	134
Fam110a	-0.167842042951663	135
Ctc1	-0.167002324555018	136
Clec4a2	-0.166924750068028	137
X1700017B05Rik	-0.166827966964551	138
Mtus1	-0.16674520017192	139
Zfand5	-0.164870267317048	140
Pnrc1	-0.164266366740143	141
Whrn	-0.163545449457612	142
Siglece	-0.16322019774875	143
Klf3	-0.160925475200885	144
Cebpa	-0.160499443057763	145
Ptpre	-0.159992894117211	146
Gm29417	-0.159891655478338	147
Tpm3	-0.15988634231783	148
Mertk	-0.158901878787227	149
Btg1	-0.15798856404794	150
Srsf3	-0.15629421028861	151
Cd300a	-0.155824849590104	152
Nav2	-0.155500855239055	153
Gtf2h2	-0.155396880225045	154
Spi1	-0.155081163772322	155
Herc2	-0.153898037823288	156
Itpripl1	-0.153064096665731	157
Csnk1e	-0.152545490042228	158
Ogt	-0.151668175056929	159
Il16	-0.151305810656213	160
Tmem59	-0.150442539398667	161
H2.DMa	-0.149967144491079	162
Csmd3	-0.149639609353139	163
Inpp5d	-0.149470364412824	164
Edem2	-0.148694142241783	165
Agmo	-0.148048811413728	166
Vapa	-0.147650453446229	167
Bmyc	-0.147608588002175	168
Twf2	-0.147359895339147	169
Trim8	-0.147108964826107	170
Tmem37	-0.146507948342226	171
Lpar6	-0.145315375980424	172
Cd33	-0.144258208587779	173
Rcsd1	-0.144149281164221	174
Col27a1	-0.143885398923227	175
Iscu	-0.143405068153107	176
Arrb2	-0.143299400474763	177
Pnp	-0.141669517164649	178
Cxxc5	-0.141008741100153	179
Rnaset2b	-0.139976365436099	180
Bank1	-0.139774058777209	181
Ankrd44	-0.13970598970599	182
Srgap2	-0.136684148777874	183
Cfh	-0.136301643466369	184
Picalm	-0.135971348982291	185
Pik3r1	-0.135159370823858	186
Ets1	-0.134791964027155	187
Sirpa	-0.134661281538017	188
Soga1	-0.134177072989895	189
Ptpn1	-0.134124762396424	190
Fez2	-0.133528889075554	191
Pdia6	-0.132411352665735	192
Asb2	-0.132049919561606	193
Usp2	-0.131830896141023	194
Upk1b	-0.13180675857647	195
Rab14	-0.131758914921293	196
Cd53	-0.131549283620896	197
Casp8	-0.130987466483863	198
Fam134b	-0.130689836413513	199
Tm6sf1	-0.130138394190659	200
Rnf167	-0.129959734747045	201
Pou2f2	-0.128600074235208	202
Fam49b	-0.127883596104265	203
Prex1	-0.127744446884169	204
Nav3	-0.127326596075181	205
Dnajb9	-0.12728235243304	206
Arl4c	-0.126863068538816	207
Taz	-0.126773908214273	208
Lrrc58	-0.126542412441068	209
Slc25a11	-0.126238726423442	210
Hnrnpk	-0.125965961823419	211
Cdc42	-0.12401565670012	212
Mrfap1	-0.123670074804382	213
Ophn1	-0.123256784592203	214
Ier5	-0.123062906378857	215
Foxn3	-0.123007111838287	216
X3222401L13Rik	-0.122832646417732	217
Gm42726	-0.121757660031205	218
Rbm4b	-0.121550670910033	219
Ccdc12	-0.121132963739002	220
Cnpy3	-0.120787015235038	221
Ypel3	-0.120744959197757	222
Fam102b	-0.120369015617816	223
Tram1	-0.119529586598598	224
Fchsd2	-0.119065383671629	225
Klhdc8b	-0.118991392925493	226
Atp2c1	-0.118925137740879	227
Zbtb20	-0.11850642349191	228
Camk1	-0.118103382543379	229
Yipf4	-0.117992312190127	230
Snx18	-0.117666082277126	231
BC035044	-0.11743646959616	232
Lpxn	-0.117204851581059	233
Tspan14	-0.116839780536481	234
Ube2d2a	-0.116611347502607	235
Ptp4a3	-0.115776957387703	236
Celf2	-0.115678526999555	237
Ikzf1	-0.11541044322015	238
Daglb	-0.115226276555614	239
Rtn4rl1	-0.115138652933295	240
Lyn	-0.114545124915916	241
Aars	-0.113951848084622	242
Cysltr1	-0.113682797087792	243
Vgll4	-0.113566398298545	244
C5ar1	-0.112973325831333	245
Rgs10	-0.112799643457093	246
Gabarapl2	-0.112568484033888	247
Xbp1	-0.111523501733015	248
