gene	diff	rank
Apoe	2.21206576466994	1
Ifi27l2a	1.71813142153612	2
Ifitm3	1.58431010101598	3
Lgals3bp	1.49344580041927	4
H2.D1	1.42342659522367	5
Bst2	1.25629174803419	6
H2.K1	1.25567607718854	7
Lyz2	1.18252086073779	8
Uba52	1.09025401644206	9
B2m	1.08476847799605	10
Cd52	1.06506994217735	11
Ctsb	0.947848766413844	12
Cst7	0.890038409275003	13
Ccl12	0.879759584837255	14
Rpl32	0.854936579202322	15
Rpl10a	0.795224211605956	16
Rpsa	0.786841253526587	17
Rps19	0.765217493355293	18
Rpl41	0.743092773787118	19
Rps18	0.739236677576888	20
Rps5	0.729291892251461	21
Rpl23	0.728033224162105	22
Gm10076	0.7223115373758	23
Rps20	0.722149029001721	24
Rps28	0.718316698631916	25
Rps2	0.716298917529008	26
Rpl38	0.713334298813956	27
Npc2	0.706652088320743	28
Rpl12	0.703137245387589	29
Cd63	0.695756562908501	30
Rtp4	0.693161018564436	31
Rpl24	0.688647071339938	32
Gnas	0.679996311007755	33
Grn	0.679259410726317	34
Ly6e	0.675234317731572	35
Rpl19	0.674917864953055	36
Rplp0	0.674531090410277	37
Rps15a	0.67314227052635	38
Rps12	0.672998132976239	39
Rps27a	0.664522282076322	40
Rpl37	0.663323177692185	41
Rps26	0.649927828523428	42
Rpl37a	0.648011689823794	43
Rps16	0.6457859730476	44
Rpl9	0.640996350187974	45
Rpl36	0.636628061298703	46
Tspo	0.636248239418457	47
Rps24	0.634766158939114	48
Ifi204	0.632837458293301	49
Rps8	0.628871449070941	50
Rpl35	0.625304288437916	51
Rpl36a	0.621874790586908	52
Rpl22l1	0.619875952698238	53
Irf7	0.612535946200407	54
Ctsl	0.608179186653485	55
Rps29	0.603093938603345	56
Rpl26	0.602195344488999	57
Rpl39	0.600377584247054	58
Gas6	0.593305399505607	59
Rps14	0.592549816169595	60
Rps25	0.588062755399372	61
Rps11	0.587850929217154	62
Rpl27	0.587634752022147	63
Zfos1	0.585470909814639	64
Rplp2	0.584481745977627	65
Oasl2	0.583565653985836	66
Gnb2l1	0.58312982662214	67
Rps7	0.578194189187267	68
Rpl22	0.577163490324227	69
Rpl7a	0.576958475472569	70
Rpl8	0.575937034007599	71
Rps13	0.571997423919561	72
Rpl17	0.569847094795295	73
Rps10	0.569462488361115	74
Lpl	0.564759302284407	75
Rpl18	0.563192715299429	76
Rpl31	0.562468344554379	77
Rpl14	0.562225584462544	78
Rpl18a	0.560732344896931	79
Rpl15	0.560297309945937	80
Fau	0.558546016850293	81
Tpt1	0.556620066562567	82
Rpl27a	0.556394180830402	83
Rps21	0.554705729879194	84
Rpl34	0.551332529838824	85
Rpl29	0.550710016697149	86
Rpl3	0.548989934661242	87
Rpl4	0.543503707035178	88
Cox4i1	0.539256407124667	89
Rpl13a	0.537581157855714	90
Rps17	0.536248358547743	91
Ctsz	0.533933325470688	92
Rps23	0.532153360561548	93
Rpl35a	0.530320230169728	94
Rpl28	0.523484406517072	95
Rpl13	0.522608098253813	96
Slfn2	0.521272399943558	97
Rps3	0.519099971688824	98
Npm1	0.516387716176352	99
Rpl11	0.515387324852862	100
Rps15	0.51487494952832	101
Eif3f	0.514153785844429	102
Rps3a1	0.513309450655612	103
Rpl6	0.51024235428617	104
Eef1b2	0.505882255365454	105
Akr1a1	0.505415585083644	106
Rps6	0.503729504133132	107
Rpl30	0.502745153783523	108
Rpl21	0.500304974806451	109
Isg15	0.497039382132689	110
Fth1	0.496092834499415	111
Ftl1	0.486924600656133	112
Ifit3	0.474314267463245	113
Rps27	0.472960470536705	114
Uqcrh	0.472914699242467	115
Rpl5	0.451037133697463	116
Gm9843	0.443941592934821	117
mt.Co1	0.443135958291402	118
Timp2	0.442596456428138	119
Eef1a1	0.43858182764038	120
Syngr1	0.436211378130119	121
Eef1g	0.427119772695894	122
Ccl3	0.427005182681587	123
Rps9	0.42683023242813	124
Pabpc1	0.42586722180677	125
Tor3a	0.425688656459927	126
Psme1	0.420030423389552	127
Ifi30	0.419227328089132	128
Lamp1	0.417754842465606	129
Rpl10	0.415571377176732	130
Rps4x	0.413469562139077	131
Naca	0.412301335378105	132
Serpine2	0.407934303110962	133
Pfdn5	0.407922331682304	134
Mif	0.406923239082003	135
Gusb	0.405922626759095	136
Cox8a	0.405218983279779	137
Pkm	0.403673972795644	138
mt.Nd4	0.397813900152604	139
Gapdh	0.397093017160384	140
Rpl7	0.396863608560546	141
Nrp1	0.396620243436355	142
H2.Q7	0.394138576349649	143
Cfl1	0.393505556444316	144
Hspe1	0.39056016461048	145
Rps27rt	0.38862193586614	146
Gm8730	0.387782362620768	147
Stat1	0.386229399721748	148
Eef2	0.385405842019527	149
Cox6c	0.383767932690738	150
Fcgr4	0.379532291732451	151
Shisa5	0.377428230952512	152
Ly86	0.375450220356085	153
Wdr89	0.370718631389607	154
Ccl6	0.369081788982381	155
Atp5e	0.368577476982298	156
Cd72	0.362141741515455	157
Hint1	0.359558141165317	158
mt.Nd1	0.358469790928797	159
Ssr4	0.358416307387782	160
Sdf4	0.355806658022217	161
Sh3bgrl3	0.353970109672916	162
Clta	0.353498433140432	163
Cox7c	0.351064650009227	164
Psmb8	0.350955573089611	165
Hexa	0.350600525579452	166
Slc25a3	0.350130843445859	167
Axl	0.350045901802673	168
Fcer1g	0.348492037944344	169
Mpeg1	0.348310206531274	170
Cox6a1	0.347086104082521	171
Trim30a	0.340930335497688	172
Cox7a2l	0.337268527575858	173
Phf11b	0.334760128712896	174
Serf2	0.333650384699527	175
Cstb	0.333289582524412	176
Itm2b	0.331662089071593	177
Rpl23a	0.3308930527144	178
Sp100	0.329039424402302	179
Cotl1	0.328835196590638	180
Ptma	0.328549334379813	181
Rplp1	0.327121896313384	182
Lamp2	0.326465888575219	183
Ndufa1	0.324431796042377	184
X2010107E04Rik	0.324133840586358	185
Eif3h	0.323328924681732	186
Prdx5	0.31898540509553	187
Ldha	0.318637060283107	188
Oas1a	0.318527422793446	189
Ctsa	0.315551214143367	190
Gm2000	0.310775092498632	191
Rpl36al	0.309051251901912	192
H2.Q4	0.307246664609563	193
Gm4951	0.306812701535351	194
Cox6b1	0.304529666330926	195
Ccl4	0.303370625898727	196
Tyrobp	0.301667358044269	197
Fcgr2b	0.300692970056288	198
Arpc1b	0.299322990918537	199
Evi2a	0.298877686950762	200
Atox1	0.298834471614561	201
Gm10116	0.296874773430551	202
Myeov2	0.295051180254942	203
Milr1	0.293168990006043	204
Slc25a5	0.290348826082256	205
Ramp1	0.288524579139832	206
Psme2	0.288398479324997	207
Bag1	0.287024937425274	208
Ndufa2	0.285596394934367	209
Eif3k	0.285185941849792	210
Cd83	0.285016025020587	211
Zbp1	0.284347386081436	212
Hspa8	0.283808558871885	213
mt.Cytb	0.282707940996935	214
Lrpap1	0.281482154486927	215
Gpi1	0.280283559038007	216
Usp18	0.27970144998381	217
Xaf1	0.278923922583127	218
Ybx1	0.277871499512192	219
Gabarap	0.276035123603738	220
Sdc3	0.274484124129866	221
Rtcb	0.271396154046327	222
Gng5	0.267912709947396	223
Shfm1	0.266417398546364	224
Parp14	0.264311007401639	225
Tpi1	0.262990472923483	226
Tap1	0.261642541856921	227
Prdx1	0.260338630021944	228
H2.M3	0.260074204132097	229
Atp5l	0.257500103453529	230
Sdcbp	0.25383269128899	231
Lat2	0.253651158435591	232
Ms4a6c	0.253129211428002	233
Oxct1	0.252423663428614	234
Cd68	0.252295522763124	235
Anxa5	0.251803304465859	236
Btf3	0.251351682047598	237
Eif3e	0.251210980807205	238
mt.Nd2	0.249670919298161	239
AI607873	0.249285411209585	240
Arpc3	0.248959638435389	241
Atp5c1	0.247925842107298	242
Atp5j2	0.245502900522525	243
Tlr2	0.245331161166573	244
Bcl2a1b	0.244858211503103	245
Ergic3	0.24419460028524	246
Snhg6	0.243777077078162	247
Prdx4	0.24359381394521	248
Cd180	0.243290173988778	249
Apobec3	0.243133309410884	250
Fuca1	0.242322360765851	251
Cxcl16	0.240075165378505	252
Rps27l	0.237839648781479	253
Gpr84	0.237138182519961	254
H2.T22	0.236755587816408	255
Ubl5	0.235546418757582	256
Gltp	0.235417199695438	257
H2.T23	0.235072517623215	258
Pld3	0.233799296435716	259
Tmsb4x	0.233520116042017	260
Sep15	0.232399721343885	261
Ctsd	0.231994769189478	262
Ctsc	0.231327628890606	263
Sepw1	0.231271835518417	264
Grcc10	0.230256183952417	265
Tomm7	0.228973182693585	266
Chmp4b	0.228519346893787	267
X2700060E02Rik	0.228392463912832	268
Ndufa13	0.227862680381658	269
Snrpg	0.227762443366566	270
Atp5h	0.227485102645502	271
Arsb	0.226776541673812	272
Stat2	0.226040460394835	273
Gm10269	0.226038579946526	274
Cox5a	0.225808001719715	275
Eif2ak2	0.223457673499098	276
Gltscr2	0.223075049732174	277
Psap	0.223018215346567	278
Ifit2	0.222292797464827	279
Tpd52	0.221787412947612	280
Ucp2	0.221644159182269	281
Pgls	0.218711240805557	282
Abhd12	0.218521741635183	283
mt.Nd3	0.216939431615908	284
Tmem256	0.216278639299772	285
Epsti1	0.21577716407498	286
Glmp	0.215011483116693	287
Ggh	0.214976497796745	288
Mnda	0.213347720869188	289
Use1	0.213084294025196	290
Uqcrq	0.212017911227972	291
Dpp7	0.21158615756036	292
Eef1d	0.211552540464408	293
Ndufa6	0.211475836228998	294
Myl6	0.21119184907442	295
Phf11d	0.210883871431121	296
Lgals9	0.210182666035019	297
Rnf213	0.209744436568104	298
Bola2	0.208697427592605	299
Hprt	0.208448936415467	300
Ms4a4c	0.208318503871961	301
Psmb1	0.207443303218392	302
Rpl9.ps6	0.205994621309498	303
Ly9	0.20561102247155	304
Gm2a	0.205067418663934	305
Ndufb9	0.203609545911954	306
Pcbp2	0.202012177973798	307
Pomp	0.200830483756544	308
Atp5k	0.200008001207958	309
Atp5b	0.199629903998442	310
Mt1	0.198870677500056	311
Ly6a	0.198662861626925	312
Cox5b	0.196997094876528	313
